mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler_smote__sampling_strategy,param_sampler_smote__k_neighbors,param_sampler_nearmiss__version,param_sampler_nearmiss__sampling_strategy,param_sampler_nearmiss__n_neighbors,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.6319866561889649,0.1739719550282832,0.20848395347595214,0.05892415015765619,0.2,3,1,0.5,5,400,15,8,0.3,5,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 3, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 5, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.24000000000000005,0.2222222222222222,0.3846153846153846,0.37500000000000006,0.3448275862068965,0.42857142857142855,0.3846153846153846,0.5384615384615384,0.41379310344827586,0.26086956521739135,0.26666666666666666,0.14814814814814814,0.2857142857142857,0.4761904761904762,0.35714285714285715,0.23076923076923078,0.3703703703703704,0.46153846153846156,0.32,0.39999999999999997,0.48275862068965514,0.28571428571428575,0.4444444444444444,0.18750000000000003,0.2727272727272727,0.34330645333898707,0.09907228736998011,3,0.3803110468749483,0.18962573358299226,0.4521827930831762,0.2928192844859511,0.294657045693945,0.2950004988704679,0.3425847591274088,0.3355664488017429,0.38226326142992806,0.2317432694080767,0.27960166252827323,0.2606156494675118,0.2348682019734651,0.4652748479549327,0.31658076643220956,0.206328787673642,0.25905694180003436,0.3578646062661408,0.2506076906034267,0.4071909571909572,0.39535287649322737,0.22840239464077627,0.47521267766365805,0.18039961760891993,0.2195325010134793,0.30934577282677167,0.0851924351515191,12,0.7558922558922558,0.6161616161616161,0.8148148148148149,0.7356902356902357,0.7593283582089552,0.7727272727272728,0.7609427609427609,0.82996632996633,0.803030303030303,0.7667910447761193,0.7525252525252525,0.6430976430976432,0.7306397306397306,0.7053872053872053,0.8041044776119404,0.6430976430976431,0.7053872053872055,0.8131313131313131,0.6616161616161615,0.833955223880597,0.8249158249158249,0.7087542087542087,0.8114478114478115,0.6245791245791246,0.7182835820895522,0.743850696014875,0.06585945467782002,14
0.5386523532867432,0.10756251645592622,0.16127412796020507,0.03410638395938824,0.2,3,1,0.5,5,300,5,8,0.5,12,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 3, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 5, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.21428571428571427,0.2857142857142857,0.3846153846153846,0.37500000000000006,0.39999999999999997,0.41379310344827586,0.3703703703703704,0.42857142857142855,0.4666666666666666,0.25,0.2222222222222222,0.08,0.2962962962962963,0.4545454545454546,0.3225806451612903,0.14285714285714285,0.3448275862068966,0.5185185185185185,0.32,0.3448275862068965,0.4444444444444444,0.3,0.3703703703703704,0.2,0.3,0.33002028882006634,0.10277184533701461,7,0.378986333646539,0.18572279057474472,0.4358968413069982,0.26964659135711766,0.27536807405889185,0.31666404853539354,0.3432694063626267,0.30612605165034834,0.43931542825719755,0.21126030824745773,0.3030552893128958,0.2647017558535484,0.22620194861025666,0.4642374431781057,0.31408568745229365,0.19472079142512286,0.40615300607422455,0.3602223150468764,0.2248470053004367,0.3831442655891185,0.44333333890599697,0.24831138318736626,0.4300332383665717,0.18633351858926053,0.20417838204464178,0.3126326097173613,0.08931200096259484,10,0.7188552188552187,0.601010101010101,0.7996632996632996,0.734006734006734,0.7444029850746269,0.771043771043771,0.7457912457912458,0.8164983164983165,0.8114478114478114,0.7406716417910448,0.7373737373737375,0.6599326599326599,0.7070707070707071,0.7003367003367003,0.8003731343283582,0.5976430976430976,0.7138047138047138,0.8232323232323231,0.6582491582491582,0.8078358208955225,0.8131313131313131,0.6885521885521886,0.7946127946127945,0.6245791245791246,0.707089552238806,0.7326883260465351,0.06671290360003983,24
0.5745022678375244,0.0950250792718137,0.17351884841918946,0.04997435543840112,0.2,3,1,0.5,3,300,10,3,0.3,12,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 3, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 300, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3,0.2608695652173913,0.3636363636363637,0.3846153846153846,0.3448275862068965,0.41379310344827586,0.2608695652173913,0.33333333333333337,0.4666666666666666,0.2,0.2758620689655173,0.09090909090909093,0.25,0.4545454545454546,0.26666666666666666,0.34782608695652173,0.25,0.46153846153846156,0.17391304347826086,0.3846153846153846,0.46153846153846156,0.2608695652173913,0.4761904761904762,0.14285714285714285,0.2,0.3130377388728214,0.10638966386814963,16,0.37703921870588536,0.17286213416288398,0.44465923363772825,0.3267978934645601,0.2854309221244705,0.2927768929413666,0.3854493830246892,0.33035273283594246,0.430112647987705,0.2645800154739315,0.2501202501202501,0.271179762753111,0.23076265203458188,0.4498472686565666,0.25798771121351766,0.21666247451195494,0.3155979058434324,0.3928748699638187,0.21499697376533777,0.3992422935357718,0.43456392365173274,0.2046072946038049,0.5623015873015873,0.14771789732066948,0.24599591481329375,0.31618079417794376,0.10024075601099534,8,0.7373737373737373,0.6279461279461279,0.7946127946127945,0.7727272727272727,0.7406716417910448,0.7272727272727273,0.7407407407407407,0.8114478114478114,0.8131313131313131,0.7742537313432836,0.7171717171717171,0.6666666666666666,0.6801346801346801,0.7222222222222222,0.7686567164179104,0.6043771043771043,0.6902356902356902,0.7895622895622896,0.5942760942760943,0.8376865671641792,0.8148148148148149,0.6632996632996633,0.7811447811447811,0.5673400673400674,0.7574626865671642,0.7278091863912759,0.07285728252517754,25
0.7953518104553222,0.13112835452117022,0.21322907447814943,0.048726093017557884,0.2,5,1,0.4,3,400,5,3,0.3,5,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 5, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.28571428571428575,0.19999999999999998,0.4545454545454546,0.5,0.4545454545454546,0.4545454545454546,0.3333333333333333,0.43478260869565216,0.13333333333333333,0.09090909090909093,0.18181818181818185,0.1904761904761905,0.5263157894736842,0.36363636363636365,0.35294117647058826,0.18181818181818185,0.4210526315789474,0.13333333333333333,0.380952380952381,0.56,0.125,0.5263157894736842,0.18181818181818185,0.11764705882352941,0.3167267043451456,0.14837742254254505,13,0.34998236331569665,0.18138591256238315,0.3840053420277673,0.35167408184544047,0.2953459887742976,0.3027355883288087,0.3842641359308026,0.3535657757879981,0.4189577235629867,0.19521763116647417,0.26715604370403134,0.22162623494059294,0.23977342102342103,0.43040077421690554,0.27024054221744437,0.2202069716775599,0.2361803025260449,0.40356903077491313,0.18294410620878965,0.4029568269735604,0.39119995269744645,0.21497028783473793,0.5415965207631874,0.16766792301448025,0.20145360852597693,0.3043630836160699,0.09722025458761951,16,0.7457912457912458,0.6228956228956228,0.7929292929292929,0.8215488215488216,0.7667910447761194,0.739057239057239,0.7491582491582491,0.7962962962962963,0.7878787878787878,0.7388059701492538,0.7643097643097643,0.7424242424242424,0.7138047138047138,0.702020202020202,0.7835820895522387,0.622895622895623,0.6986531986531986,0.8501683501683501,0.6296296296296297,0.8526119402985074,0.8232323232323233,0.6868686868686869,0.8097643097643098,0.6127946127946128,0.7238805970149252,0.7431117141564902,0.06850661556966806,15
0.4361295509338379,0.09627231332332338,0.13000840187072754,0.02395873846137059,0.2,5,1,0.4,5,200,15,3,0.3,16,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 5, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 5, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.23529411764705882,0.27272727272727276,0.33333333333333337,0.5,0.37037037037037035,0.3846153846153846,0.4166666666666667,0.3157894736842105,0.4800000000000001,0.125,0.16,0.16666666666666669,0.18181818181818185,0.5,0.3448275862068965,0.34782608695652173,0.2608695652173913,0.43478260869565216,0.18181818181818185,0.4166666666666667,0.5185185185185185,0.19999999999999998,0.4166666666666667,0.23076923076923078,0.2,0.3198010631617949,0.11904762048857143,9,0.3592430225884332,0.19624580305431372,0.38901296781731565,0.42276848451879045,0.32428009938090585,0.2832452944748026,0.39442547304298886,0.3795860158621902,0.4338223867635632,0.18925478918389535,0.25177352303748857,0.18654034137905107,0.24541832148453668,0.4581889071319806,0.2600988061735013,0.18969514069846258,0.259764202453323,0.46341029042178467,0.19669928156447766,0.4000202922077922,0.530213243546577,0.22190605034183247,0.560839131205264,0.16553625979737888,0.20380832753628106,0.3186318582266772,0.11581189563483257,3,0.7794612794612794,0.6515151515151515,0.8131313131313131,0.8333333333333333,0.7630597014925373,0.7205387205387205,0.7390572390572391,0.813131313131313,0.8215488215488216,0.7201492537313433,0.7356902356902357,0.6801346801346801,0.7188552188552189,0.7003367003367004,0.7742537313432836,0.601010101010101,0.7037037037037037,0.8501683501683501,0.6430976430976431,0.8283582089552238,0.8434343434343434,0.6969696969696969,0.7794612794612794,0.6195286195286196,0.7388059701492538,0.7427493843911754,0.06984242349354368,16
0.7089542579650879,0.12158859169608567,0.20156737327575683,0.04386974504131957,0.2,3,1,0.5,3,400,15,8,0.3,12,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 3, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4166666666666667,0.2962962962962963,0.3846153846153846,0.41379310344827586,0.37037037037037035,0.4,0.3846153846153846,0.32,0.4666666666666666,0.2857142857142857,0.33333333333333326,0.16,0.33333333333333337,0.4545454545454546,0.37037037037037035,0.23076923076923078,0.30769230769230765,0.41379310344827586,0.34782608695652173,0.3333333333333333,0.5185185185185185,0.17391304347826086,0.380952380952381,0.2222222222222222,0.3478260869565218,0.34668667857213586,0.08488394189474303,2,0.4213057408179359,0.20153097753672466,0.4569362329912202,0.33850809684143013,0.27257000507000506,0.29611139777548445,0.33580563593086743,0.3378086252699256,0.4295895068944714,0.21590217652717653,0.2776370120636584,0.26605671322842156,0.24523446296901674,0.4670618905463177,0.29083694244056085,0.18484290114135077,0.3407117104499906,0.35581805963566304,0.25051637594399734,0.3911111111111111,0.4812969889189401,0.21538936069795953,0.4890092879256966,0.16555147958373764,0.22332307504941776,0.31801863069444325,0.09610168599685917,6,0.7727272727272727,0.6178451178451179,0.8265993265993266,0.7626262626262625,0.7406716417910448,0.7727272727272727,0.7508417508417509,0.8333333333333333,0.7946127946127945,0.7593283582089553,0.7676767676767677,0.6531986531986532,0.7373737373737373,0.6919191919191919,0.8022388059701493,0.6094276094276094,0.707070707070707,0.7996632996632996,0.6700336700336701,0.8097014925373134,0.8232323232323232,0.68013468013468,0.8114478114478114,0.6144781144781145,0.7238805970149254,0.7413116236996834,0.06776105943468412,17
0.4663495922088623,0.08992902438197539,0.15469919204711913,0.056845494939415146,0.3,5,1,0.4,3,200,5,5,0.3,12,balanced,True,"{'sampler_smote__sampling_strategy': 0.3, 'sampler_smote__k_neighbors': 5, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3157894736842105,0.0,0.35294117647058826,0.3333333333333333,0.5263157894736842,0.4545454545454546,0.39999999999999997,0.375,0.25,0.22222222222222224,0.13333333333333333,0.0,0.1904761904761905,0.5882352941176471,0.1904761904761905,0.11764705882352941,0.23529411764705882,0.3,0.1111111111111111,0.23529411764705882,0.4210526315789474,0.125,0.39999999999999997,0.28571428571428575,0.13333333333333333,0.2678846045595272,0.14873734422195617,23,0.40286701602491076,0.17914108229221898,0.27033590140296593,0.3171074782916888,0.32330395134593426,0.3160423053611908,0.273176528137189,0.3855413105413106,0.2850939923337307,0.20473014132553607,0.2211236022292994,0.18440340801451915,0.21561728770934852,0.4166200964764577,0.18932415902614835,0.1771248524489487,0.2179173374637562,0.34966225401008005,0.21789670490328386,0.37679039710289713,0.4099354626546635,0.199088335434759,0.3772438846714209,0.23452007200297215,0.18138775475731997,0.27703981263850197,0.08182995369961396,22,0.8198653198653199,0.6212121212121212,0.7861952861952862,0.7794612794612794,0.8414179104477613,0.7710437710437711,0.7306397306397306,0.84006734006734,0.7676767676767676,0.6753731343283582,0.7457912457912458,0.6902356902356902,0.6885521885521886,0.6868686868686869,0.7182835820895522,0.6077441077441077,0.6734006734006734,0.8434343434343434,0.6835016835016835,0.8675373134328358,0.8164983164983165,0.6885521885521886,0.8367003367003367,0.6801346801346801,0.6585820895522388,0.7407507914970602,0.0745806261583801,18
0.577096004486084,0.06823313319323605,0.12466014862060547,0.017034827809768463,0.3,5,1,0.5,3,400,5,8,sqrt,12,balanced,True,"{'sampler_smote__sampling_strategy': 0.3, 'sampler_smote__k_neighbors': 5, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.5,0.09523809523809525,0.19999999999999998,0.4666666666666666,0.3333333333333333,0.4166666666666667,0.24000000000000005,0.6086956521739131,0.2608695652173913,0.2,0.37500000000000006,0.15384615384615383,0.3846153846153846,0.4545454545454546,0.25,0.16,0.28571428571428575,0.3846153846153846,0.27272727272727276,0.4166666666666667,0.4444444444444444,0.09523809523809525,0.3846153846153846,0.3703703703703704,0.1,0.31415475506779855,0.13514360654736157,15,0.366503823868165,0.18267527294509608,0.4427201566408279,0.3843976647898216,0.24023090730407803,0.26416963312312153,0.27378526918682067,0.5925177702955481,0.27103183225182914,0.17324660293410293,0.49326927552734,0.17413110458496445,0.24741546188354702,0.42275663907242855,0.22732259570494864,0.1510281537450032,0.3774359534402576,0.3532548570592049,0.27033863058227037,0.5076190476190476,0.315154964185972,0.2311609046953494,0.4869274791090199,0.31743578367141584,0.18512040340401842,0.31806600750496794,0.1183673013154306,5,0.8198653198653199,0.5892255892255893,0.8114478114478114,0.7828282828282829,0.7611940298507462,0.7508417508417509,0.728956228956229,0.9006734006734006,0.7272727272727273,0.6828358208955224,0.8367003367003367,0.6548821548821548,0.7373737373737375,0.7188552188552187,0.7294776119402986,0.5505050505050505,0.7676767676767677,0.8013468013468013,0.7558922558922558,0.875,0.803030303030303,0.7306397306397308,0.8417508417508417,0.6868686868686869,0.6865671641791045,0.7492683049399469,0.08000124955160041,8
0.5142632579803467,0.06983833157847232,0.11947263717651367,0.01129960114853424,0.2,5,1,0.4,3,400,15,3,sqrt,5,balanced,True,"{'sampler_smote__sampling_strategy': 0.2, 'sampler_smote__k_neighbors': 5, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.380952380952381,0.08,0.43478260869565216,0.5454545454545455,0.2857142857142857,0.3846153846153846,0.4210526315789474,0.47058823529411764,0.3846153846153846,0.10526315789473685,0.30769230769230765,0.2105263157894737,0.1904761904761905,0.5263157894736842,0.36363636363636365,0.24000000000000005,0.1904761904761905,0.46153846153846156,0.18181818181818185,0.5263157894736842,0.5384615384615384,0.09999999999999999,0.4545454545454546,0.27272727272727276,0.11764705882352941,0.3270086211899107,0.1480918880033878,8,0.35366118086706316,0.15005948679624137,0.5402062534415476,0.4156199677938809,0.25182705026455027,0.2846189046189046,0.3925667549376586,0.42653044123632355,0.2504501401807006,0.21070139343577976,0.43251028806584363,0.20173206811862276,0.24467176560715617,0.38884911832582736,0.24037870541408277,0.1703284804589228,0.38064909749120274,0.41255738540291387,0.21090030985379823,0.4942840157871622,0.35185081455419376,0.22942096056973643,0.5022182661600354,0.21022257302167574,0.21397105604422678,0.31843145913792203,0.11187901527186861,4,0.8097643097643097,0.5774410774410774,0.872053872053872,0.8114478114478114,0.7667910447761195,0.7289562289562289,0.7407407407407407,0.8417508417508417,0.7323232323232324,0.7462686567164178,0.7996632996632997,0.6986531986531986,0.7356902356902357,0.7222222222222222,0.7705223880597016,0.5723905723905724,0.7710437710437711,0.8552188552188552,0.67003367003367,0.8917910447761195,0.8013468013468014,0.7205387205387205,0.8063973063973064,0.6346801346801347,0.7350746268656717,0.7525121865420372,0.07941888596940742,7
0.3030447769165039,0.060511513390116296,0.12118173599243164,0.03666169874017265,0.3,3,1,0.5,3,200,15,8,sqrt,8,balanced,True,"{'sampler_smote__sampling_strategy': 0.3, 'sampler_smote__k_neighbors': 3, 'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 3, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3636363636363637,0.17391304347826086,0.43478260869565216,0.4666666666666666,0.3333333333333333,0.42857142857142855,0.30769230769230765,0.4444444444444444,0.42857142857142855,0.0,0.2857142857142857,0.30769230769230765,0.3846153846153846,0.4761904761904762,0.3333333333333333,0.1111111111111111,0.32,0.4166666666666667,0.18181818181818185,0.3846153846153846,0.3448275862068966,0.32,0.43478260869565216,0.3703703703703704,0.3,0.3341339728847975,0.11274414086162673,5,0.33672973172973175,0.16656715548172132,0.4901635401635402,0.41281739702792336,0.21456350207506542,0.3145094793432389,0.29591642924976264,0.4331280278860924,0.27724488333040964,0.1665273962148962,0.536529317040826,0.2217962261393744,0.2818820177643707,0.43023088023088024,0.19576534576534577,0.1650426423059851,0.35067451465300925,0.3342996907513036,0.22788196928983678,0.46738095238095234,0.33426311040690126,0.23851117005915767,0.4576176909510243,0.3086197771956286,0.20045358476065,0.3143646572879051,0.10800731887264571,9,0.8232323232323232,0.5858585858585859,0.8400673400673401,0.7811447811447811,0.75,0.7828282828282829,0.7558922558922558,0.8703703703703705,0.7525252525252525,0.6753731343283582,0.8265993265993266,0.7104377104377104,0.7760942760942761,0.7356902356902356,0.7145522388059702,0.5875420875420875,0.7474747474747474,0.8097643097643097,0.7138047138047138,0.8712686567164178,0.803030303030303,0.7407407407407407,0.8468013468013468,0.6750841750841752,0.6902985074626866,0.7546590280918639,0.07457310102116076,6
