fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5714285714285714,0.4444444444444444,0.12698412698412698,0.8971428571428571,0.8518518518518519,0.04529100529100527
2,0.6451612903225806,0.17391304347826086,0.47124824684431976,0.9426415094339623,0.5909090909090909,0.35173241852487136
3,0.5348837209302325,0.125,0.4098837209302325,0.9162264150943396,0.787878787878788,0.1283476272155516
4,0.5647058823529412,0.380952380952381,0.18375350140056018,0.9079245283018869,0.7760942760942761,0.1318302522076108
5,0.5411764705882353,0.3157894736842105,0.22538699690402475,0.8871001683501682,0.8246268656716418,0.062473302678526466
6,0.6206896551724139,0.4545454545454546,0.16614420062695934,0.9224797843665768,0.7542087542087542,0.16827103015782263
7,0.6,0.3157894736842105,0.28421052631578947,0.9252830188679246,0.7205387205387206,0.20474429832920404
8,0.5333333333333333,0.5263157894736842,0.007017543859649145,0.8866846361185984,0.8552188552188552,0.03146578089974317
9,0.5393258426966292,0.39999999999999997,0.13932584269662923,0.9171967654986524,0.7996632996632996,0.11753346583535274
10,0.6493506493506495,0.13333333333333333,0.5160173160173162,0.9199284511784511,0.6940298507462687,0.22589860043218246
11,0.5301204819277109,0.3636363636363637,0.16648411829134718,0.8944474393530997,0.8501683501683502,0.04427908918474943
12,0.6206896551724139,0.10526315789473685,0.5154264972776771,0.9179514824797843,0.6868686868686869,0.23108279561109746
13,0.5934065934065934,0.3636363636363637,0.2297702297702297,0.9199999999999999,0.7676767676767677,0.1523232323232322
14,0.5376344086021506,0.35294117647058826,0.18469323213156236,0.9132075471698113,0.7154882154882154,0.19771933168159594
15,0.5894736842105264,0.26086956521739135,0.328604118993135,0.9141414141414141,0.7220149253731343,0.19212648876827987
16,0.5434782608695652,0.24000000000000005,0.30347826086956514,0.9086792452830188,0.6111111111111112,0.29756813417190764
17,0.5806451612903226,0.23076923076923078,0.34987593052109184,0.9140700808625337,0.7053872053872053,0.20868287547532838
18,0.5567010309278351,0.4166666666666667,0.1400343642611684,0.8987601078167116,0.8265993265993266,0.072160781217385
19,0.6,0.1111111111111111,0.4888888888888889,0.9343396226415095,0.6683501683501684,0.26598945429134113
20,0.5625000000000001,0.36363636363636365,0.19886363636363646,0.9101430976430976,0.8936567164179106,0.016486381225187086
21,0.5555555555555556,0.5217391304347826,0.033816425120772986,0.9084636118598383,0.8265993265993267,0.0818642852605116
22,0.6419753086419753,0.3157894736842105,0.32618583495776476,0.9340161725067386,0.7474747474747474,0.18654142503199123
23,0.627906976744186,0.380952380952381,0.24695459579180506,0.9192452830188679,0.8484848484848485,0.07076043453401937
24,0.577319587628866,0.28571428571428575,0.2916053019145803,0.9178436657681941,0.6835016835016836,0.23434198226651048
25,0.5742574257425743,0.0,0.5742574257425743,0.9033038720538721,0.6175373134328358,0.2857665586210363
