fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.3431372549019608,0.3461538461538462,-0.0030165912518854143,0.9608625336927223,0.7424242424242423,0.21843829126848002
2,0.3723404255319149,0.2692307692307693,0.1031096563011456,0.9587061994609165,0.6531986531986531,0.3055075462622634
3,0.3317535545023697,0.32,0.0117535545023697,0.9537466307277629,0.6969696969696969,0.256776933758066
4,0.3482587064676617,0.27586206896551724,0.07239663750214448,0.9598921832884098,0.7222222222222222,0.23766996106618754
5,0.33488372093023255,0.32,0.014883720930232547,0.9659090909090908,0.8171641791044776,0.14874491180461324
6,0.3398058252427184,0.2962962962962963,0.04350952894642213,0.9595687331536389,0.7104377104377104,0.24913102271592846
7,0.3431372549019608,0.29090909090909095,0.052228163992869836,0.9515902964959569,0.7272727272727273,0.22431756922322965
8,0.3286384976525822,0.30434782608695654,0.024290671565625643,0.958921832884097,0.6632996632996633,0.29562216958443377
9,0.33816425120772947,0.3076923076923077,0.030471943515421762,0.9405929919137467,0.7407407407407407,0.19985225117300598
10,0.3789473684210526,0.2857142857142857,0.09323308270676689,0.9605429292929293,0.7518656716417911,0.2086772576511382
11,0.330188679245283,0.3018867924528302,0.028301886792452824,0.9579514824797845,0.6750841750841751,0.2828673073956094
12,0.36458333333333337,0.34782608695652173,0.01675724637681164,0.9453369272237198,0.6632996632996634,0.28203726392405637
13,0.358974358974359,0.32727272727272727,0.031701631701631705,0.9585983827493262,0.702020202020202,0.2565781807291242
14,0.35,0.25,0.09999999999999998,0.9589218328840972,0.6801346801346801,0.278787152749417
15,0.3564356435643564,0.29629629629629634,0.060139347268060084,0.9508627946127945,0.8003731343283582,0.15048966028443633
16,0.3743315508021391,0.2857142857142857,0.08861726508785339,0.9587061994609165,0.6666666666666666,0.2920395327942499
17,0.3608247422680413,0.20689655172413793,0.15392819054390336,0.9593530997304582,0.5235690235690236,0.43578407616143466
18,0.330188679245283,0.3076923076923077,0.02249637155297529,0.9588140161725068,0.7895622895622896,0.16925172661021726
19,0.3448275862068966,0.30434782608695654,0.040479760119940034,0.9660377358490566,0.696969696969697,0.2690680388793596
20,0.34782608695652173,0.26415094339622647,0.08367514356029526,0.9496001683501684,0.7779850746268657,0.17161509372330264
21,0.33816425120772947,0.2962962962962963,0.04186795491143319,0.947601078167116,0.7626262626262627,0.18497481554085338
22,0.33816425120772947,0.32,0.018164251207729465,0.9713207547169811,0.7188552188552189,0.25246553586176224
23,0.32258064516129037,0.32142857142857145,0.0011520737327189168,0.9632345013477089,0.8047138047138047,0.15852069663390422
24,0.3482587064676617,0.29090909090909095,0.057349615558570766,0.9568733153638814,0.6936026936026936,0.2632706217611879
25,0.36734693877551017,0.25,0.11734693877551017,0.9463383838383839,0.5708955223880596,0.37544286145032424
