fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.6976744186046512,0.3333333333333333,0.36434108527131787,0.9603234501347709,0.8047138047138047,0.15560964542096622
2,0.6170212765957447,0.32,0.2970212765957447,0.9426415094339623,0.595959595959596,0.3466819134743663
3,0.6153846153846154,0.11764705882352941,0.497737556561086,0.9292722371967655,0.7693602693602694,0.1599119678364962
4,0.5376344086021506,0.380952380952381,0.15668202764976963,0.9214016172506739,0.7929292929292929,0.128472324321381
5,0.5544554455445544,0.3478260869565218,0.2066293585880326,0.9139309764309763,0.8003731343283583,0.11355784210261799
6,0.6222222222222221,0.43478260869565216,0.18743961352656996,0.9302425876010783,0.765993265993266,0.16424932160781225
7,0.6506024096385543,0.34782608695652173,0.3027763226820326,0.9509433962264151,0.7609427609427609,0.19000063528365418
8,0.6428571428571429,0.5,0.1428571428571429,0.9333692722371968,0.8383838383838383,0.09498543385335845
9,0.5957446808510638,0.380952380952381,0.21479229989868281,0.9267924528301887,0.7845117845117845,0.14228066831840425
10,0.6382978723404256,0.23529411764705882,0.40300375469336674,0.9363425925925926,0.7257462686567164,0.21059632393587613
11,0.6582278481012659,0.4210526315789474,0.2371752165223185,0.9400539083557952,0.7946127946127945,0.14544111374300062
12,0.5684210526315789,0.09999999999999999,0.46842105263157896,0.9257142857142857,0.6397306397306397,0.285983645983646
13,0.6666666666666667,0.3636363636363637,0.30303030303030304,0.9397304582210243,0.7676767676767676,0.17205369054425668
14,0.5656565656565656,0.3636363636363637,0.20202020202020193,0.9349865229110512,0.6750841750841751,0.25990234782687616
15,0.6122448979591837,0.36363636363636365,0.24860853432282004,0.9410774410774411,0.8115671641791046,0.1295102768983365
16,0.5360824742268042,0.16,0.3760824742268042,0.91633423180593,0.601010101010101,0.315324130795829
17,0.6292134831460674,0.25,0.3792134831460674,0.9467385444743937,0.6228956228956228,0.3238429215787708
18,0.5652173913043478,0.4210526315789474,0.14416475972540038,0.9174123989218329,0.8383838383838383,0.07902856053799456
19,0.6590909090909092,0.2222222222222222,0.43686868686868696,0.9520215633423181,0.6851851851851851,0.266836378157133
20,0.6,0.33333333333333326,0.2666666666666667,0.9332912457912457,0.8731343283582089,0.06015691743303675
21,0.6153846153846154,0.6086956521739131,0.006688963210702337,0.9438274932614555,0.8737373737373737,0.07009011952408184
22,0.627906976744186,0.3,0.32790697674418606,0.9490026954177897,0.7744107744107744,0.17459192100701526
23,0.7088607594936709,0.39999999999999997,0.3088607594936709,0.9468463611859839,0.8232323232323231,0.12361403795366077
24,0.5742574257425743,0.2608695652173913,0.313387860525183,0.923234501347709,0.6666666666666666,0.2565678346810424
25,0.5714285714285714,0.11764705882352941,0.45378151260504196,0.9217171717171717,0.6380597014925373,0.2836574702246344
