fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5048543689320388,0.5454545454545455,-0.04060017652250669,0.8811859838274932,0.8804713804713805,0.0007146033561127307
2,0.5346534653465347,0.07692307692307691,0.45773038842345776,0.9012398921832885,0.569023569023569,0.3322163231597195
3,0.49504950495049505,0.4761904761904762,0.018859028760018826,0.8547708894878707,0.8602693602693602,-0.005498470781489462
4,0.4736842105263158,0.3428571428571429,0.1308270676691729,0.8679245283018867,0.7407407407407407,0.127183787561146
5,0.4897959183673469,0.3,0.18979591836734694,0.8650042087542087,0.791044776119403,0.07395943263480564
6,0.48543689320388345,0.39999999999999997,0.08543689320388348,0.8660916442048517,0.771043771043771,0.09504787316108076
7,0.47706422018348627,0.3448275862068966,0.1322366339765897,0.871266846361186,0.7306397306397306,0.14062711572145536
8,0.47169811320754707,0.4210526315789474,0.050645481628599665,0.849811320754717,0.8804713804713805,-0.030660059716663524
9,0.5000000000000001,0.4444444444444444,0.05555555555555569,0.877088948787062,0.7558922558922558,0.12119669289480617
10,0.4954128440366973,0.2857142857142857,0.20969855832241158,0.8738425925925926,0.753731343283582,0.12011124930901051
11,0.5,0.2758620689655173,0.2241379310344827,0.8552021563342318,0.781144781144781,0.07405737518945077
12,0.4536082474226804,0.08695652173913043,0.36665172568355,0.8538005390835579,0.6481481481481481,0.20565239093540977
13,0.4761904761904762,0.39999999999999997,0.07619047619047625,0.8601617250673854,0.771043771043771,0.08911795402361444
14,0.5000000000000001,0.5,1.1102230246251565e-16,0.8803234501347709,0.7020202020202021,0.17830324811456877
15,0.4800000000000001,0.4999999999999999,-0.019999999999999796,0.8754208754208754,0.8152985074626866,0.060122367958188816
16,0.5894736842105264,0.2608695652173913,0.3286041189931351,0.9031805929919137,0.5875420875420876,0.3156385054498261
17,0.5098039215686275,0.39999999999999997,0.10980392156862756,0.8697574123989218,0.7676767676767676,0.10208064472215417
18,0.47058823529411764,0.3846153846153846,0.08597285067873306,0.8538005390835579,0.8148148148148148,0.03898572426874314
19,0.48,0.25,0.22999999999999998,0.8464690026954178,0.6784511784511784,0.1680178242442394
20,0.490566037735849,0.4137931034482759,0.07677293428757309,0.8435395622895623,0.8824626865671643,-0.03892312427760203
21,0.46846846846846846,0.37500000000000006,0.0934684684684684,0.8605929919137467,0.7929292929292929,0.06766369898445379
22,0.49504950495049505,0.28571428571428575,0.2093352192362093,0.870188679245283,0.7912457912457913,0.07894288799949167
23,0.5217391304347826,0.4166666666666667,0.10507246376811591,0.8788140161725068,0.8063973063973064,0.07241670977520032
24,0.5252525252525253,0.2962962962962963,0.22895622895622902,0.892722371967655,0.6414141414141414,0.2513082305535136
25,0.490566037735849,0.3478260869565218,0.14273995077932722,0.8593223905723906,0.7164179104477613,0.1429044801246293
