threshold,precision,recall,f1,accuracy
0.4799999999999999,0.23868954758190328,0.6954545454545454,0.35540069686411146,0.704
0.48999999999999994,0.2476894639556377,0.6090909090909091,0.3521681997371879,0.7370666666666666
0.49999999999999994,0.2616407982261641,0.5363636363636364,0.3517138599105812,0.768
0.4699999999999999,0.22010869565217392,0.7363636363636363,0.3389121338912134,0.6629333333333334
0.5099999999999999,0.2644628099173554,0.43636363636363634,0.3293310463121784,0.7914666666666667
0.4599999999999999,0.2028811524609844,0.7681818181818182,0.32098765432098764,0.6186666666666667
0.5199999999999999,0.28113879003558717,0.35909090909090907,0.3153692614770459,0.8170666666666667
0.4499999999999999,0.18676627534685167,0.7954545454545454,0.3025064822817632,0.5696
0.5299999999999999,0.28761061946902655,0.29545454545454547,0.2914798206278027,0.8314666666666667
0.43999999999999995,0.17382999044890163,0.8272727272727273,0.287292817679558,0.5184
0.5399999999999999,0.32941176470588235,0.2545454545454545,0.28717948717948716,0.8517333333333333
0.42999999999999994,0.16424294268605646,0.8727272727272727,0.27645788336933047,0.464
0.41999999999999993,0.1524628616106333,0.8863636363636364,0.2601734489659773,0.40853333333333336
0.5499999999999999,0.3697478991596639,0.2,0.25958702064896755,0.8661333333333333
0.4099999999999999,0.14439655172413793,0.9136363636363637,0.24937965260545905,0.3546666666666667
0.3999999999999999,0.13846153846153847,0.9409090909090909,0.24139941690962102,0.3061333333333333
0.38999999999999996,0.13465220165922145,0.9590909090909091,0.23614997202014554,0.272
0.37999999999999995,0.1316595223515003,0.9772727272727273,0.23205612520237456,0.24106666666666668
0.36999999999999994,0.128099173553719,0.9863636363636363,0.22675026123301986,0.21066666666666667
0.35999999999999993,0.12471264367816091,0.9863636363636363,0.22142857142857142,0.18613333333333335
0.3499999999999999,0.12143256855064354,0.9863636363636363,0.216243148978575,0.16106666666666666
0.33999999999999997,0.11991199119911991,0.990909090909091,0.21393523061825317,0.1456
0.32999999999999996,0.11950027159152635,1.0,0.21348859776807377,0.13546666666666668
0.5599999999999999,0.36666666666666664,0.15,0.2129032258064516,0.8698666666666667
0.31999999999999995,0.11879049676025918,1.0,0.21235521235521237,0.1296
0.30999999999999994,0.11783610069630424,1.0,0.21082894106372785,0.1216
0.3,0.11764705882352941,1.0,0.21052631578947367,0.12
0.05,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.06,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.07,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.08,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.09,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.09999999999999999,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.10999999999999999,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.12,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
