fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5652173913043478,0.4761904761904762,0.08902691511387156,0.9142857142857143,0.8299663299663299,0.08431938431938435
2,0.6236559139784946,0.19999999999999998,0.42365591397849467,0.9440431266846362,0.6279461279461279,0.3160969987385083
3,0.5714285714285715,0.26666666666666666,0.30476190476190484,0.9253908355795148,0.8164983164983164,0.10889251908119846
4,0.5714285714285714,0.4545454545454546,0.11688311688311681,0.9175202156334232,0.7878787878787878,0.12964142775463539
5,0.5494505494505494,0.3,0.2494505494505494,0.896043771043771,0.8059701492537314,0.09007362179003953
6,0.5454545454545454,0.4761904761904762,0.0692640692640692,0.9231266846361186,0.7828282828282828,0.14029840180783582
7,0.6373626373626374,0.27272727272727276,0.36463536463536467,0.9295956873315363,0.7794612794612794,0.1501344078702569
8,0.5591397849462366,0.4545454545454546,0.10459433040078203,0.8983288409703504,0.8417508417508417,0.05657799921950868
9,0.5263157894736842,0.3,0.2263157894736842,0.9092183288409703,0.7441077441077442,0.16511058473322615
10,0.627906976744186,0.11764705882352941,0.5102599179206566,0.9296085858585859,0.6921641791044776,0.23744440675410827
11,0.5974025974025974,0.380952380952381,0.2164502164502164,0.9129919137466307,0.8484848484848484,0.06450706526178229
12,0.5531914893617021,0.10526315789473685,0.4479283314669653,0.9038274932614555,0.6582491582491582,0.2455783350122973
13,0.5934065934065934,0.3636363636363637,0.2297702297702297,0.9207547169811321,0.7845117845117846,0.1362429324693475
14,0.5454545454545454,0.5,0.045454545454545414,0.9228032345013477,0.7356902356902357,0.18711299881111199
15,0.556701030927835,0.2962962962962963,0.2604047346315387,0.9118265993265994,0.7649253731343284,0.14690122619227097
16,0.4948453608247423,0.14814814814814814,0.34669721267659415,0.9037196765498652,0.5892255892255892,0.314494087324276
17,0.6136363636363636,0.28571428571428575,0.3279220779220779,0.9195687331536389,0.7104377104377104,0.20913102271592843
18,0.5454545454545454,0.34782608695652173,0.19762845849802368,0.8980053908355795,0.8148148148148148,0.08319057602076474
19,0.6250000000000001,0.11764705882352941,0.5073529411764707,0.9340161725067385,0.6851851851851851,0.2488309873215534
20,0.6428571428571429,0.5,0.1428571428571429,0.9188762626262627,0.9011194029850746,0.017756859641188005
21,0.5510204081632654,0.56,-0.00897959183673469,0.9198921832884097,0.8535353535353535,0.06635682975305623
22,0.6024096385542168,0.3333333333333333,0.2690763052208835,0.928733153638814,0.803030303030303,0.12570285060851105
23,0.6829268292682927,0.380952380952381,0.30197444831591175,0.9246361185983828,0.835016835016835,0.0896192835815478
24,0.5544554455445544,0.24000000000000005,0.31445544554455435,0.9183827493261455,0.6414141414141414,0.27696860791200406
25,0.5977011494252873,0.0,0.5977011494252873,0.9053030303030303,0.6958955223880597,0.20940750791497054
