fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5542168674698795,0.35294117647058826,0.20127569099929127,0.8897035040431267,0.8585858585858587,0.03111764545726803
2,0.631578947368421,0.2857142857142857,0.3458646616541353,0.9375741239892184,0.5909090909090909,0.3466650330801274
3,0.5348837209302325,0.23529411764705882,0.2995896032831737,0.9061994609164421,0.797979797979798,0.10821966293664409
4,0.5393258426966292,0.3157894736842105,0.2235363690124187,0.9025336927223719,0.7626262626262625,0.1399074300961094
5,0.5538461538461539,0.0,0.5538461538461539,0.8792087542087542,0.7835820895522387,0.09562666465651548
6,0.6436781609195402,0.5,0.14367816091954022,0.9234501347708894,0.7626262626262627,0.1608238721446268
7,0.5977011494252874,0.28571428571428575,0.31198686371100165,0.923989218328841,0.7087542087542087,0.21523500957463226
8,0.5348837209302325,0.5555555555555556,-0.02067183462532307,0.8816172506738544,0.8518518518518519,0.029765398822002576
9,0.5531914893617021,0.35294117647058826,0.2002503128911139,0.903288409703504,0.7407407407407407,0.1625476689627633
10,0.6153846153846153,0.15384615384615385,0.46153846153846145,0.9276094276094276,0.7014925373134329,0.2261168902959947
11,0.5411764705882354,0.43478260869565216,0.10639386189258321,0.885498652291105,0.8602693602693603,0.02522929202174473
12,0.5647058823529412,0.10526315789473685,0.45944272445820433,0.9036118598382749,0.6835016835016835,0.22011017633659136
13,0.5842696629213483,0.43478260869565216,0.14948705422569614,0.912021563342318,0.7491582491582491,0.16286331418406885
14,0.5168539325842697,0.375,0.1418539325842697,0.9178436657681941,0.7154882154882155,0.2023554502799786
15,0.58,0.26086956521739135,0.3191304347826086,0.9007786195286195,0.7294776119402986,0.1713010075883209
16,0.5052631578947367,0.24000000000000005,0.2652631578947367,0.8997304582210243,0.5993265993265993,0.300403858894425
17,0.6206896551724139,0.2962962962962963,0.32439335887611764,0.9109433962264151,0.7289562289562289,0.18198716727018616
18,0.5934065934065934,0.43478260869565216,0.15862398471094125,0.9081401617250673,0.8164983164983164,0.0916418452267509
19,0.6,0.13333333333333333,0.4666666666666667,0.9261455525606469,0.6548821548821548,0.27126339767849206
20,0.5287356321839081,0.4210526315789474,0.10768300060496067,0.9020412457912458,0.8899253731343284,0.012115872656917381
21,0.5531914893617021,0.43478260869565216,0.11840888066604999,0.9046900269541779,0.7845117845117845,0.12017824244239339
22,0.6428571428571429,0.3157894736842105,0.3270676691729324,0.9301347708894878,0.7508417508417509,0.17929302004773695
23,0.6341463414634146,0.4545454545454546,0.17960088691796006,0.9093261455525606,0.861952861952862,0.04737328359969861
24,0.5979381443298969,0.1904761904761905,0.4074619538537064,0.9159029649595687,0.6632996632996633,0.2526033016599054
25,0.6,0.2105263157894737,0.3894736842105263,0.9051978114478114,0.6305970149253731,0.2746007965224383
