mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler_adasyn__sampling_strategy,param_sampler_adasyn__n_neighbors,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1.1123102474212647,0.37869468915802895,0.4815300178527832,0.2958912210507296,0.2,2,400,10,5,0.5,8,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.2222222222222222,0.375,0.23529411764705882,0.2222222222222222,0.26666666666666666,0.35294117647058826,0.14285714285714288,0.15384615384615383,0.11764705882352941,0.11764705882352941,0.35294117647058826,0.25,0.09999999999999999,0.23529411764705882,0.23529411764705882,0.11764705882352941,0.39999999999999997,0.47058823529411764,0.0,0.3333333333333333,0.13333333333333333,0.14285714285714288,0.2044386267327444,0.12449499025947554,19,0.260290156841881,0.16160083225802713,0.19413095510506956,0.2861825901041587,0.26253491319472044,0.35736834223924596,0.30345084513663084,0.2772271355604689,0.31997231991010233,0.19062475756216107,0.2494372809852686,0.23804983596650264,0.2142523237631933,0.3431238052292549,0.2599692149587108,0.19255778334725704,0.2781943175426948,0.29256254294953987,0.18595172571952756,0.42228618421052627,0.37766203703703705,0.22643757711692497,0.3693112543656022,0.20719532098229154,0.19550083290892115,0.26663499539982877,0.06779714096407517,23,0.7727272727272727,0.5925925925925926,0.7053872053872055,0.7996632996632996,0.7742537313432836,0.7996632996632996,0.7205387205387205,0.7744107744107743,0.7693602693602695,0.6716417910447762,0.7777777777777777,0.739057239057239,0.7053872053872053,0.6885521885521886,0.7593283582089553,0.6582491582491583,0.6447811447811448,0.8047138047138047,0.6599326599326599,0.8675373134328359,0.771043771043771,0.7239057239057239,0.8417508417508417,0.6851851851851851,0.6585820895522387,0.734640936730489,0.06576955210435755,23
0.5989719009399415,0.11300827236694093,0.13660335540771484,0.02057326217240611,0.2,2,400,10,3,sqrt,8,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.30769230769230765,0.14285714285714288,0.13333333333333333,0.25,0.16666666666666666,0.25,0.13333333333333333,0.2857142857142857,0.14285714285714285,0.3157894736842105,0.26666666666666666,0.3157894736842105,0.125,0.26666666666666666,0.42857142857142855,0.15384615384615383,0.4444444444444445,0.5263157894736842,0.125,0.30769230769230765,0.16666666666666666,0.0,0.2155294646873594,0.13253870614817995,17,0.3313399194803369,0.17702729908304754,0.20626924181467665,0.40236697736697735,0.2672619047619047,0.26225160316607243,0.29298679850580434,0.43645329343858763,0.3069183917765224,0.22527619794243836,0.4343803059080837,0.205690218214518,0.2766548614666894,0.31875465161910177,0.34469664679527573,0.16429589131042366,0.24484126984126986,0.3864243903929812,0.22820722259997187,0.5841119528619528,0.6034923228550679,0.22551058396586854,0.3848062486596161,0.2106477512929126,0.18118615177438707,0.30807408387577956,0.11526196111639722,7,0.8367003367003367,0.6127946127946128,0.7020202020202021,0.803030303030303,0.8115671641791045,0.7710437710437711,0.7558922558922558,0.8804713804713804,0.7710437710437711,0.6977611940298507,0.835016835016835,0.6952861952861953,0.7609427609427609,0.7255892255892256,0.7723880597014925,0.5909090909090909,0.7121212121212122,0.8501683501683502,0.6801346801346801,0.8880597014925373,0.8602693602693603,0.734006734006734,0.8316498316498316,0.6784511784511784,0.6604477611940298,0.756710638725564,0.079792817168136,1
0.32419676780700685,0.056613709072517726,0.09508343696594239,0.015295278348441856,0.3,1,200,15,8,sqrt,12,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4210526315789474,0.17391304347826086,0.23529411764705882,0.380952380952381,0.36363636363636365,0.43478260869565216,0.3157894736842105,0.5882352941176471,0.2222222222222222,0.1,0.3636363636363637,0.11764705882352941,0.5,0.4210526315789474,0.26086956521739135,0.09090909090909093,0.27272727272727276,0.3846153846153846,0.10526315789473685,0.4,0.46153846153846156,0.19999999999999998,0.3636363636363637,0.16,0.3157894736842105,0.30614251841097984,0.1334119097593247,5,0.39722842868004155,0.16688636974187315,0.3606161600442646,0.3508886145200064,0.2559672619047619,0.3066657416657417,0.2760064312351894,0.4934037503890446,0.33308059920963146,0.19255343981564255,0.4262425068876682,0.2301244373175862,0.32622980351977643,0.3489719987436882,0.2598306412890961,0.1654832934410399,0.24414169548604833,0.37697960475738257,0.1991338319065387,0.33846049783549786,0.5536531986531986,0.23205535412818326,0.38413837915350324,0.23625853480925943,0.20436826245649775,0.3063747535036465,0.09768958677290016,10,0.8265993265993266,0.5858585858585859,0.7760942760942761,0.7895622895622896,0.8041044776119404,0.8030303030303031,0.7070707070707071,0.8821548821548821,0.7424242424242424,0.710820895522388,0.7946127946127945,0.728956228956229,0.8265993265993266,0.7255892255892256,0.7406716417910447,0.5757575757575758,0.7138047138047138,0.8417508417508417,0.6077441077441077,0.8526119402985075,0.8299663299663299,0.744107744107744,0.8501683501683502,0.6986531986531986,0.667910447761194,0.753064978139605,0.08176484402204752,7
0.5645897769927979,0.10520135800567515,0.1803751754760742,0.08333534687544801,0.3,1,400,10,5,sqrt,16,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 5, 'rf__max_features': 'sqrt', 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.25,0.0,0.14285714285714285,0.5263157894736842,0.33333333333333326,0.39999999999999997,0.3157894736842105,0.5882352941176471,0.23529411764705882,0.11764705882352941,0.4210526315789474,0.10526315789473685,0.3333333333333333,0.375,0.3157894736842105,0.17391304347826086,0.2608695652173913,0.3157894736842105,0.14285714285714285,0.5,0.5217391304347826,0.2222222222222222,0.375,0.3157894736842105,0.125,0.29652363432024226,0.14610145248944975,9,0.416391965933999,0.16001019375202383,0.3150106213414515,0.4001289474559915,0.2704312707989178,0.2983934789490345,0.30725710827453245,0.535672514619883,0.26880605059111434,0.1736432276873453,0.4512824559023389,0.2351921393667124,0.3174867724867725,0.3662854259188445,0.23025465540528764,0.1551686379881106,0.2290871051241221,0.36616045991046,0.20823462861164638,0.42179561030367485,0.585510286015787,0.22863844293152857,0.38916562238930663,0.25131223119527213,0.19963024352926176,0.31123800385933675,0.11152387012354319,6,0.8367003367003367,0.5824915824915825,0.7491582491582491,0.8131313131313131,0.8227611940298506,0.7878787878787878,0.7205387205387206,0.8922558922558923,0.7508417508417509,0.6828358208955224,0.8367003367003367,0.7154882154882155,0.8013468013468014,0.7474747474747474,0.7369402985074627,0.5791245791245792,0.7205387205387206,0.8451178451178452,0.6363636363636364,0.8899253731343284,0.8518518518518517,0.7306397306397306,0.8148148148148149,0.6885521885521886,0.6735074626865671,0.7562792100105534,0.08452835905913077,3
0.6213905620574951,0.11543769404617774,0.18690978050231932,0.0636576534691484,0.2,2,300,5,8,0.3,16,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.23529411764705882,0.0,0.0,0.39999999999999997,0.3157894736842105,0.39999999999999997,0.25,0.35294117647058826,0.3157894736842105,0.125,0.125,0.1904761904761905,0.09999999999999999,0.3333333333333333,0.36363636363636365,0.09090909090909093,0.2105263157894737,0.19999999999999998,0.11764705882352941,0.3157894736842105,0.4210526315789474,0.1904761904761905,0.3636363636363637,0.1904761904761905,0.23529411764705882,0.23372270247812044,0.12011410429704475,13,0.30930394845312387,0.1665991415991416,0.22233391759535553,0.3292673962321214,0.27378034547152197,0.3123434844023079,0.32568588072159815,0.3474831469084343,0.2803600138704503,0.1865225427188859,0.2664484386353715,0.2181675662973617,0.2451996843121714,0.39379161143867025,0.2703809762815974,0.17697665408191723,0.2805304647351366,0.3086387332710862,0.2016072897894487,0.325832304949952,0.4700010861301184,0.23526724171885463,0.3839448962029607,0.29251772593219516,0.18736380893644292,0.280413932027449,0.07252982841131247,17,0.8181818181818181,0.5942760942760943,0.7542087542087541,0.8047138047138047,0.8022388059701493,0.8013468013468013,0.739057239057239,0.7996632996632996,0.7558922558922558,0.6791044776119404,0.7861952861952861,0.7188552188552189,0.7474747474747474,0.6851851851851851,0.7798507462686568,0.6498316498316499,0.6481481481481481,0.8215488215488216,0.6851851851851851,0.8544776119402985,0.8013468013468014,0.7323232323232323,0.8417508417508418,0.7104377104377104,0.6865671641791045,0.7479144680637217,0.06626962606524849,15
0.4067539405822754,0.1325948803513189,0.13750810623168946,0.12533272359915815,0.2,2,200,10,3,sqrt,16,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.14285714285714285,0.0,0.0,0.30769230769230765,0.26666666666666666,0.25,0.26666666666666666,0.1818181818181818,0.25,0.22222222222222224,0.14285714285714285,0.13333333333333333,0.3,0.2857142857142857,0.4444444444444445,0.125,0.3157894736842105,0.375,0.15384615384615383,0.47058823529411764,0.375,0.0,0.30769230769230765,0.14285714285714285,0.0,0.21840182830585306,0.13212322120301415,15,0.31504959093194385,0.16698072911908718,0.1953671240808654,0.3408390991724325,0.2658128939378939,0.2423251215522843,0.38456633438484616,0.44806494282300735,0.3235810485810486,0.19836330694487994,0.3398747186790665,0.20153062604551913,0.26286278528392765,0.3007633183490377,0.3754148055314545,0.17244782068211612,0.3091585752975401,0.35924793805228583,0.21619772295688208,0.553903513752585,0.40757575757575754,0.23028645652064664,0.4010939623983102,0.18580651462603337,0.19712301587301587,0.2957695089260987,0.09685623455731725,13,0.8215488215488216,0.6060606060606061,0.6919191919191919,0.7777777777777778,0.7985074626865672,0.7508417508417509,0.7794612794612795,0.8821548821548821,0.7710437710437711,0.6735074626865671,0.8198653198653199,0.6868686868686869,0.7592592592592593,0.7070707070707071,0.7854477611940298,0.6043771043771045,0.7205387205387205,0.8249158249158248,0.6531986531986532,0.8432835820895523,0.84006734006734,0.7255892255892256,0.8434343434343434,0.6632996632996633,0.6865671641791045,0.7486642544851501,0.07581766690481785,14
0.951297492980957,0.2359885034955678,0.3460525321960449,0.1423500208261653,0.2,2,400,5,5,0.3,8,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.14285714285714285,0.0,0.0,0.26666666666666666,0.26666666666666666,0.25,0.2222222222222222,0.0,0.13333333333333333,0.0,0.15384615384615383,0.11764705882352941,0.125,0.375,0.28571428571428575,0.09523809523809525,0.2222222222222222,0.26666666666666666,0.125,0.47058823529411764,0.47058823529411764,0.0,0.4444444444444444,0.11764705882352941,0.28571428571428575,0.19348251095309915,0.14323351490614358,21,0.30278653808065575,0.1606439166625125,0.20871747478139405,0.32655597326649954,0.2803904428904429,0.3137271972464793,0.3178859781205319,0.29306886112159947,0.29507626121819025,0.19325624885969714,0.2405600380425468,0.23035917272028383,0.22640834111422348,0.3662469937469937,0.2767241830749895,0.17520501696613605,0.2205055863164425,0.30642742456784205,0.18471160870092984,0.4298110414489725,0.38791605317340616,0.2212899864083835,0.35179141309576095,0.21614900929417058,0.2342029746681281,0.2704167094234885,0.06862031692251253,21,0.803030303030303,0.5942760942760943,0.734006734006734,0.8181818181818181,0.7966417910447761,0.7996632996632997,0.7390572390572391,0.7929292929292929,0.7643097643097643,0.667910447761194,0.7643097643097643,0.7323232323232323,0.7272727272727273,0.6986531986531986,0.7667910447761194,0.6498316498316499,0.632996632996633,0.8215488215488216,0.6515151515151515,0.8712686567164178,0.7895622895622896,0.7255892255892256,0.835016835016835,0.7037037037037037,0.7014925373134329,0.7432752902155889,0.06796166505983316,17
0.8323476982116699,0.18184298078800912,0.3378490161895752,0.12957355728688882,0.2,1,300,10,8,0.5,8,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 300, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.1111111111111111,0.13333333333333333,0.26666666666666666,0.4,0.3157894736842105,0.3,0.4,0.23529411764705882,0.11764705882352941,0.13333333333333333,0.09999999999999999,0.1904761904761905,0.3333333333333333,0.380952380952381,0.09999999999999999,0.18181818181818185,0.17391304347826086,0.09999999999999999,0.33333333333333326,0.35294117647058826,0.11764705882352941,0.39999999999999997,0.1111111111111111,0.10526315789473685,0.2210918958249689,0.11179313738770623,14,0.37177894633430025,0.17333645599006908,0.223800128251474,0.2920246821175614,0.301463980246875,0.31414977195119037,0.35521372039447674,0.38379031205118164,0.2613976573535397,0.1891226376280724,0.2766813488680496,0.19067747815306,0.24978815869310547,0.3447625254076867,0.2729957099637951,0.18103168669206404,0.1949686492556276,0.2860045941398517,0.20707465665905564,0.31697211779448625,0.4587752230521838,0.20208127858469355,0.33573857704292487,0.2070226185665262,0.19024809481706031,0.2712360404003565,0.07463403949048296,20,0.8063973063973064,0.6060606060606061,0.7356902356902357,0.7878787878787878,0.8171641791044777,0.7811447811447811,0.7424242424242424,0.8181818181818181,0.7407407407407407,0.666044776119403,0.7777777777777778,0.6801346801346801,0.7356902356902357,0.7020202020202021,0.7854477611940298,0.6414141414141414,0.6346801346801347,0.7962962962962963,0.6784511784511784,0.835820895522388,0.8215488215488215,0.6767676767676768,0.8215488215488215,0.7087542087542088,0.6623134328358209,0.7384157495351524,0.06741821573745678,20
0.6274426746368408,0.16096699947225918,0.2207288646697998,0.10200464074264204,0.2,2,200,15,3,0.5,12,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.2222222222222222,0.26666666666666666,0.3157894736842105,0.11764705882352941,0.125,0.35294117647058826,0.15384615384615385,0.0,0.13333333333333333,0.1111111111111111,0.375,0.39999999999999997,0.1111111111111111,0.19999999999999998,0.375,0.11764705882352941,0.39999999999999997,0.25,0.1111111111111111,0.23529411764705882,0.11764705882352941,0.16666666666666666,0.19165470614696622,0.12112736367379617,22,0.26979926089403217,0.16620380790814449,0.18208297662482997,0.3159320952799214,0.29735956296214544,0.35405967086711465,0.2253043253043253,0.26379594820384294,0.33486933591100254,0.2027932587955017,0.23310533745848006,0.2424363852215619,0.21008933364005827,0.38722993827160496,0.3069742757242757,0.19746509563443201,0.272940588672296,0.30136672080406096,0.18333818062500234,0.40403363997113995,0.3325800372164751,0.23370342018888912,0.30629743550796185,0.18272834810892002,0.20903199401794603,0.26462083895255856,0.06599969282695578,25,0.7845117845117845,0.5993265993265993,0.6835016835016835,0.8265993265993266,0.7854477611940298,0.7861952861952861,0.7457912457912458,0.7744107744107743,0.7794612794612794,0.666044776119403,0.7407407407407408,0.7373737373737373,0.702020202020202,0.7037037037037036,0.7705223880597015,0.6700336700336701,0.6279461279461279,0.8013468013468014,0.664983164983165,0.8582089552238805,0.744107744107744,0.7390572390572391,0.8282828282828283,0.664983164983165,0.6753731343283582,0.734398964772099,0.06519252255870939,24
0.4938150691986084,0.12336782234432192,0.10831360816955567,0.010967928798728653,0.2,1,300,5,8,sqrt,5,balanced,True,"{'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4210526315789474,0.32,0.2222222222222222,0.4210526315789474,0.3478260869565218,0.5,0.28571428571428575,0.5263157894736842,0.3157894736842105,0.1,0.380952380952381,0.1111111111111111,0.4444444444444444,0.39999999999999997,0.3,0.08,0.25,0.39999999999999997,0.10526315789473685,0.4761904761904762,0.46153846153846156,0.19999999999999998,0.380952380952381,0.24000000000000005,0.2,0.31561702137171244,0.1300506240304432,2,0.41525120969565416,0.17922109100135306,0.2754168672426326,0.3439363473526854,0.28189309845559846,0.30393176427659185,0.2991779694216801,0.5023979107312441,0.3363186795997104,0.21791729592992523,0.43825575002486544,0.22422872179174702,0.2864148197481531,0.3089813038554421,0.34473410576351754,0.15671120271087605,0.27389909751020863,0.3933598931618174,0.2126788186014957,0.4615975935828877,0.6175383781315984,0.23604153199741434,0.3882158222436001,0.23765058162221284,0.16577464457181545,0.31606177996098905,0.10931028078913163,4,0.8316498316498315,0.5959595959595959,0.771043771043771,0.7929292929292929,0.8152985074626866,0.7929292929292929,0.7222222222222222,0.8703703703703703,0.7356902356902356,0.6828358208955224,0.8047138047138047,0.7222222222222222,0.7828282828282829,0.728956228956229,0.7742537313432836,0.5757575757575757,0.7239057239057239,0.8535353535353536,0.6481481481481481,0.8638059701492538,0.8333333333333333,0.7356902356902357,0.8417508417508417,0.6919191919191919,0.6492537313432836,0.7536401326699834,0.07962009712058568,6
