case_index,feature,shap_value,abs_shap,feature_value,expected_value
0,f15,0.038091215739344146,0.038091215739344146,0.0,0.508065863524093
0,f14,-0.03809121573934408,0.03809121573934408,0.0,0.508065863524093
0,f12,0.02528451823984083,0.02528451823984083,-0.13212767365640188,0.508065863524093
0,f13,-0.025284518239840813,0.025284518239840813,0.0,0.508065863524093
0,f1626,0.02151518051050772,0.02151518051050772,,0.508065863524093
0,f1627,-0.021515180510507704,0.021515180510507704,,0.508065863524093
0,f1086,0.020249133651640383,0.020249133651640383,,0.508065863524093
0,f1087,-0.020249133651640366,0.020249133651640366,,0.508065863524093
0,f1036,0.01448527574101747,0.01448527574101747,,0.508065863524093
0,f1037,-0.01448527574101744,0.01448527574101744,,0.508065863524093
1,f15,0.02242965962329463,0.02242965962329463,0.0,0.508065863524093
1,f14,-0.022429659623294563,0.022429659623294563,0.0,0.508065863524093
1,f2,0.015574706582131784,0.015574706582131784,-0.37123857998788334,0.508065863524093
1,f3,-0.01557470658213177,0.01557470658213177,0.06128381076993062,0.508065863524093
1,f1036,0.014736247642831669,0.014736247642831669,,0.508065863524093
1,f1037,-0.014736247642831641,0.014736247642831641,,0.508065863524093
1,f1038,0.010623503273074736,0.010623503273074736,,0.508065863524093
1,f1039,-0.010623503273074706,0.010623503273074706,,0.508065863524093
1,f1632,0.009915174619371383,0.009915174619371383,,0.508065863524093
1,f1633,-0.009915174619371359,0.009915174619371359,,0.508065863524093
2,f14,0.023999016318874033,0.023999016318874033,0.0,0.508065863524093
2,f15,-0.02399901631887399,0.02399901631887399,0.0,0.508065863524093
2,f13,0.02009827313934394,0.02009827313934394,0.0,0.508065863524093
2,f12,-0.0200982731393439,0.0200982731393439,-0.13212767365640188,0.508065863524093
2,f1634,0.014461239337909158,0.014461239337909158,,0.508065863524093
2,f1635,-0.014461239337909125,0.014461239337909125,,0.508065863524093
2,f1036,0.013409759928954051,0.013409759928954051,,0.508065863524093
2,f1037,-0.013409759928954027,0.013409759928954027,,0.508065863524093
2,f22,0.010342837000686328,0.010342837000686328,0.0,0.508065863524093
2,f23,-0.010342837000686306,0.010342837000686306,0.0,0.508065863524093
3,f12,0.022673045696282274,0.022673045696282274,1.4917107588430873,0.508065863524093
3,f13,-0.022673045696282257,0.022673045696282257,0.0,0.508065863524093
3,f14,0.018979942117827806,0.018979942117827806,0.0,0.508065863524093
3,f15,-0.018979942117827758,0.018979942117827758,0.0,0.508065863524093
3,f1036,0.015171261900676606,0.015171261900676606,,0.508065863524093
3,f1037,-0.015171261900676584,0.015171261900676584,,0.508065863524093
3,f1038,0.012849333809526277,0.012849333809526277,,0.508065863524093
3,f1039,-0.012849333809526246,0.012849333809526246,,0.508065863524093
3,f1634,0.011849233125635154,0.011849233125635154,,0.508065863524093
3,f1635,-0.011849233125635125,0.011849233125635125,,0.508065863524093
4,f8,0.021003064022334546,0.021003064022334546,-0.11607271869254768,0.508065863524093
4,f9,-0.02100306402233452,0.02100306402233452,-0.5089807188569103,0.508065863524093
4,f12,0.015651072526890634,0.015651072526890634,-0.030637771625183812,0.508065863524093
