threshold,precision,recall,f1,accuracy
0.6499999999999999,0.21036585365853658,0.6272727272727273,0.3150684931506849,0.68
0.6599999999999999,0.2115987460815047,0.6136363636363636,0.3146853146853147,0.6864
0.6699999999999999,0.2134646962233169,0.5909090909090909,0.31363088057901084,0.6965333333333333
0.69,0.21933085501858737,0.5363636363636364,0.3113456464379947,0.7216
0.62,0.2,0.6772727272727272,0.3088082901554405,0.6442666666666667
0.6399999999999999,0.20232896652110627,0.6318181818181818,0.3065049614112459,0.6645333333333333
0.6799999999999999,0.21107266435986158,0.5545454545454546,0.3057644110275689,0.7045333333333333
0.61,0.19584954604409857,0.6863636363636364,0.3047426841574168,0.6325333333333333
0.5399999999999999,0.18658280922431866,0.8090909090909091,0.303236797274276,0.5637333333333333
0.6,0.19318181818181818,0.6954545454545454,0.30237154150197626,0.6234666666666666
0.5299999999999999,0.18518518518518517,0.8181818181818182,0.3020134228187919,0.5562666666666667
0.63,0.1972027972027972,0.6409090909090909,0.3016042780748663,0.6517333333333334
0.5499999999999999,0.18655097613882862,0.7818181818181819,0.30122591943957966,0.5744
0.7,0.21584158415841584,0.4954545454545455,0.3006896551724138,0.7296
0.5199999999999999,0.1823587710604559,0.8363636363636363,0.29943043124491453,0.5408
0.59,0.18995098039215685,0.7045454545454546,0.2992277992277992,0.6128
0.58,0.1879432624113475,0.7227272727272728,0.29831144465290804,0.6010666666666666
0.5099999999999999,0.18085106382978725,0.85,0.29824561403508776,0.5306666666666666
0.5599999999999999,0.1846496106785317,0.7545454545454545,0.2966934763181412,0.5802666666666667
0.57,0.18556701030927836,0.7363636363636363,0.29643183897529735,0.5898666666666667
0.71,0.2168421052631579,0.4681818181818182,0.29640287769784174,0.7392
0.49999999999999994,0.17830188679245282,0.8590909090909091,0.2953125,0.5189333333333334
0.48999999999999994,0.17543859649122806,0.8636363636363636,0.29163468917881813,0.5077333333333334
0.4799999999999999,0.17399103139013453,0.8818181818181818,0.2906367041198502,0.49493333333333334
0.4599999999999999,0.1713796058269066,0.9090909090909091,0.2883922134102379,0.4736
0.4699999999999999,0.17117903930131004,0.8909090909090909,0.2871794871794872,0.48106666666666664
0.72,0.21396396396396397,0.4318181818181818,0.286144578313253,0.7472
0.4499999999999999,0.16736401673640167,0.9090909090909091,0.2826855123674911,0.45866666666666667
0.43999999999999995,0.1650326797385621,0.9181818181818182,0.27977839335180055,0.44533333333333336
0.42999999999999994,0.16044479745830023,0.9181818181818182,0.27315753887761995,0.4266666666666667
0.73,0.2073170731707317,0.38636363636363635,0.2698412698412698,0.7546666666666667
0.41999999999999993,0.1578538102643857,0.9227272727272727,0.2695883134130146,0.41333333333333333
0.4099999999999999,0.15484363081617086,0.9227272727272727,0.2651861528412802,0.4
0.38999999999999996,0.15305371596762327,0.9454545454545454,0.26345788473717546,0.3797333333333333
0.3999999999999999,0.15315985130111523,0.9363636363636364,0.26325878594249197,0.38506666666666667
0.74,0.20754716981132076,0.35,0.260575296108291,0.7669333333333334
0.37999999999999995,0.15039768618944324,0.9454545454545454,0.2595134123518403,0.36693333333333333
0.36999999999999994,0.1496792587312901,0.9545454545454546,0.2587800369685767,0.3584
0.35999999999999993,0.14644351464435146,0.9545454545454546,0.2539298669891173,0.34186666666666665
0.3499999999999999,0.1445285615966965,0.9545454545454546,0.25104602510460255,0.3317333333333333
0.33999999999999997,0.14218009478672985,0.9545454545454546,0.24749558043606365,0.31893333333333335
0.32999999999999996,0.14076050700466977,0.9590909090909091,0.24549156486329263,0.3082666666666667
0.7499999999999999,0.20118343195266272,0.3090909090909091,0.24372759856630824,0.7749333333333334
0.31999999999999995,0.1382699868938401,0.9590909090909091,0.24169530355097363,0.29386666666666666
0.7599999999999999,0.20388349514563106,0.2863636363636364,0.2381852551984877,0.7850666666666667
0.30999999999999994,0.13569131832797426,0.9590909090909091,0.23774647887323938,0.2784
0.3,0.1347248576850095,0.9681818181818181,0.23653525818989452,0.26666666666666666
0.7799999999999999,0.21705426356589147,0.2545454545454545,0.23430962343096234,0.8048
0.29,0.13254511512134412,0.9681818181818181,0.23316912972085385,0.2528
0.27999999999999997,0.13148148148148148,0.9681818181818181,0.2315217391304348,0.24586666666666668
0.7699999999999999,0.2049469964664311,0.2636363636363636,0.23061630218687873,0.7936
0.26999999999999996,0.1305403764420158,0.9772727272727273,0.2303160149973219,0.2336
0.25999999999999995,0.1288968824940048,0.9772727272727273,0.2277542372881356,0.2224
0.24999999999999994,0.12796208530805686,0.9818181818181818,0.2264150943396226,0.2128
0.24,0.12704918032786885,0.9863636363636363,0.22510373443983403,0.2032
0.7899999999999999,0.21428571428571427,0.2318181818181818,0.222707423580786,0.8101333333333334
0.21999999999999997,0.12478632478632479,0.9954545454545455,0.22177215189873414,0.18026666666666666
0.22999999999999998,0.12485615650172613,0.9863636363636363,0.22165474974463742,0.1872
0.20999999999999996,0.12365894974590627,0.9954545454545455,0.21998995479658462,0.17173333333333332
0.19999999999999996,0.1225517627308338,0.9954545454545455,0.21823617339312407,0.1632
0.19,0.1217342968315731,0.9954545454545455,0.2169390787518574,0.1568
0.16999999999999998,0.1206140350877193,1.0,0.21526418786692758,0.14453333333333335
0.18,0.1206611570247934,0.9954545454545455,0.21523341523341524,0.14826666666666666
0.15999999999999998,0.12021857923497267,1.0,0.2146341463414634,0.14133333333333334
0.14999999999999997,0.11924119241192412,1.0,0.21307506053268765,0.13333333333333333
0.13999999999999999,0.11898323418063818,1.0,0.21266312228129527,0.1312
0.13,0.11879049676025918,1.0,0.21235521235521237,0.1296
0.12,0.11859838274932614,1.0,0.21204819277108433,0.128
0.10999999999999999,0.11808910359634997,1.0,0.2112337974075852,0.12373333333333333
0.09999999999999999,0.11789924973204716,1.0,0.2109300095877277,0.12213333333333333
0.09,0.11777301927194861,1.0,0.210727969348659,0.12106666666666667
0.08,0.11752136752136752,1.0,0.21032504780114722,0.11893333333333334
0.07,0.11745862253069941,1.0,0.210224558050645,0.1184
0.05,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.06,0.11733333333333333,1.0,0.2100238663484487,0.11733333333333333
0.7999999999999999,0.2037914691943128,0.19545454545454546,0.19953596287703018,0.816
0.8099999999999999,0.21505376344086022,0.18181818181818182,0.19704433497536947,0.8261333333333334
0.82,0.21686746987951808,0.16363636363636364,0.18652849740932642,0.8325333333333333
0.83,0.20300751879699247,0.12272727272727273,0.15297450424929177,0.8405333333333334
0.84,0.21818181818181817,0.10909090909090909,0.14545454545454545,0.8496
0.8499999999999999,0.1978021978021978,0.08181818181818182,0.11575562700964631,0.8533333333333334
0.8599999999999999,0.2,0.06363636363636363,0.09655172413793102,0.8602666666666666
0.8699999999999999,0.1875,0.05454545454545454,0.08450704225352113,0.8613333333333333
0.8799999999999999,0.1702127659574468,0.03636363636363636,0.05992509363295881,0.8661333333333333
0.8899999999999999,0.175,0.031818181818181815,0.05384615384615385,0.8688
0.8999999999999999,0.16666666666666666,0.022727272727272728,0.04,0.872
0.9099999999999999,0.17391304347826086,0.01818181818181818,0.03292181069958848,0.8746666666666667
0.95,0.09090909090909091,0.004545454545454545,0.008658008658008658,0.8778666666666667
0.94,0.08333333333333333,0.004545454545454545,0.008620689655172414,0.8773333333333333
0.9299999999999999,0.07692307692307693,0.004545454545454545,0.008583690987124463,0.8768
0.9199999999999999,0.05555555555555555,0.004545454545454545,0.008403361344537815,0.8741333333333333
