calibration,brier,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc
sigmoid,0.09531043849428326,0.21999999999999997,0.8723404255319149,0.4444444444444444,0.36363636363636365,0.39999999999999997,0.7228915662650603,0.3072240020515883
isotonic,0.09630380059693654,0.21999999999999997,0.8191489361702128,0.3125,0.45454545454545453,0.3703703703703703,0.7015334063526835,0.25617665164436737
