fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.5753424657534247,0.4210526315789474,0.15428983417447734,0.9177358490566038,0.7845117845117845,0.13322406454481928
2,0.6117647058823529,0.1904761904761905,0.4212885154061624,0.9256064690026955,0.6363636363636364,0.28924283263905914
3,0.5842696629213483,0.19999999999999998,0.38426966292134834,0.9127762803234502,0.7474747474747474,0.16530153284870275
4,0.5416666666666666,0.4545454545454546,0.08712121212121204,0.9073854447439353,0.8181818181818181,0.08920362656211722
5,0.4666666666666666,0.36363636363636365,0.10303030303030297,0.8552188552188552,0.7481343283582089,0.10708452686064629
6,0.5853658536585366,0.39999999999999997,0.18536585365853658,0.9079245283018867,0.765993265993266,0.14193126230862074
7,0.5333333333333333,0.380952380952381,0.15238095238095234,0.9151482479784366,0.7525252525252525,0.16262299545318415
8,0.5054945054945055,0.5714285714285715,-0.06593406593406603,0.8822641509433963,0.8636363636363636,0.01862778730703263
9,0.5567010309278351,0.380952380952381,0.17574864997545409,0.8970350404312668,0.7239057239057239,0.17312931652554286
10,0.6352941176470588,0.125,0.5102941176470588,0.8984638047138047,0.6511194029850746,0.24734440172873007
11,0.6153846153846154,0.27272727272727276,0.34265734265734266,0.9179514824797843,0.8114478114478114,0.10650367103197289
12,0.5294117647058824,0.18181818181818185,0.3475935828877005,0.9187061994609165,0.6835016835016835,0.23520451595923297
13,0.6506024096385543,0.3636363636363637,0.2869660460021906,0.9332614555256065,0.7306397306397308,0.2026217248858757
14,0.6021505376344086,0.4210526315789474,0.18109790605546122,0.9272237196765498,0.7255892255892256,0.20163449408732426
15,0.5490196078431373,0.31999999999999995,0.22901960784313735,0.891729797979798,0.7406716417910448,0.15105815618875318
16,0.6236559139784946,0.10526315789473685,0.5183927560837578,0.9383288409703504,0.6077441077441077,0.3305847332262427
17,0.6292134831460674,0.19999999999999998,0.42921348314606744,0.9177358490566038,0.6818181818181818,0.235917667238422
18,0.5348837209302325,0.4545454545454546,0.08033826638477792,0.8946630727762803,0.8434343434343434,0.051228729341936896
19,0.5526315789473684,0.11764705882352941,0.4349845201238389,0.91633423180593,0.6952861952861953,0.2210480365197347
20,0.5434782608695653,0.4210526315789474,0.1224256292906179,0.8904671717171717,0.8675373134328359,0.022929858284335802
21,0.46938775510204084,0.5217391304347826,-0.052351375332741756,0.8912129380053908,0.8047138047138047,0.0864991332915861
22,0.5925925925925927,0.3157894736842105,0.27680311890838216,0.9187061994609165,0.8265993265993266,0.09210687286158992
23,0.5641025641025641,0.35294117647058826,0.21116138763197584,0.9185983827493263,0.7979797979797979,0.12061858476952836
24,0.5813953488372093,0.1111111111111111,0.47028423772609823,0.9124528301886792,0.6868686868686869,0.22558414331999233
25,0.5617977528089889,0.11111111111111112,0.4506866416978778,0.8978324915824916,0.6380597014925373,0.25977279008995424
