mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler_nearmiss__version,param_sampler_nearmiss__sampling_strategy,param_sampler_nearmiss__n_neighbors,param_sampler_adasyn__sampling_strategy,param_sampler_adasyn__n_neighbors,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.7401994800567627,0.20323370952746475,0.286577615737915,0.1324735129517557,1,0.4,3,0.3,2,400,15,8,0.3,5,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3,0.16666666666666669,0.3,0.380952380952381,0.5,0.39999999999999997,0.28571428571428575,0.380952380952381,0.4166666666666667,0.2105263157894737,0.10526315789473685,0.10526315789473685,0.25,0.5263157894736842,0.2727272727272727,0.18181818181818185,0.32,0.43478260869565216,0.28571428571428575,0.4166666666666667,0.3703703703703704,0.1904761904761905,0.4166666666666667,0.18181818181818185,0.2857142857142857,0.30740302050691065,0.11361699831813853,15,0.37066821506517295,0.14474673637748137,0.38868449194536153,0.2934335816688758,0.28401851125065414,0.37001350551890877,0.3059940322235404,0.3457798103996934,0.3464026714026714,0.1986543549043549,0.339687280690003,0.19795497002401366,0.233531602747289,0.4154588515138705,0.21797758752710572,0.16109604820131135,0.26683331164715385,0.3667962695740473,0.21048967735242247,0.2954017217803983,0.3873259784607302,0.22011601749504978,0.47615766080804395,0.20790555424701768,0.20879655615963932,0.2901569999593925,0.08613686609066021,23,0.7727272727272727,0.537037037037037,0.7979797979797979,0.7946127946127947,0.8097014925373134,0.8063973063973064,0.7104377104377104,0.8181818181818181,0.7760942760942761,0.7145522388059702,0.7895622895622895,0.6986531986531985,0.7289562289562289,0.6818181818181818,0.753731343283582,0.6077441077441077,0.7154882154882154,0.8282828282828283,0.6548821548821548,0.8432835820895523,0.8047138047138047,0.7087542087542087,0.8451178451178452,0.6632996632996633,0.7126865671641791,0.7429878385848535,0.07512471149342292,10
0.7091150856018067,0.18531069243936243,0.30022993087768557,0.15763256136319673,1,0.4,3,0.3,2,300,5,8,0.5,12,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.18181818181818185,0.28571428571428575,0.34782608695652173,0.46153846153846156,0.43478260869565216,0.33333333333333337,0.34782608695652173,0.33333333333333337,0.22222222222222224,0.10526315789473685,0.09090909090909093,0.24000000000000005,0.47058823529411764,0.36363636363636365,0.1904761904761905,0.32,0.34782608695652173,0.18181818181818185,0.4,0.33333333333333337,0.10526315789473685,0.43478260869565216,0.18181818181818185,0.2857142857142857,0.2933262723337296,0.10948753603209563,22,0.3347096100029199,0.14376988897875514,0.35099197615703936,0.2725997304884177,0.30988386613386615,0.3716734211415063,0.3579594966375485,0.3605345683123461,0.2987715828233069,0.19265208042464635,0.3246594655325785,0.200917770724534,0.22878024904168695,0.4069192313454608,0.2011336338781991,0.15485958926996662,0.25548527136762433,0.3906470830447438,0.17800398826542618,0.27274991765480894,0.38264506768891127,0.21390463242521082,0.49543430898929625,0.18211543399864938,0.2168589959568733,0.28394643441137296,0.09014306700496033,25,0.7457912457912458,0.5404040404040404,0.7828282828282828,0.7878787878787878,0.8227611940298507,0.8181818181818182,0.7121212121212122,0.8148148148148148,0.7575757575757576,0.6996268656716418,0.771043771043771,0.696969696969697,0.7188552188552187,0.6767676767676768,0.7257462686567164,0.5942760942760943,0.7070707070707071,0.808080808080808,0.6228956228956228,0.8264925373134329,0.8047138047138047,0.7154882154882154,0.8367003367003366,0.6296296296296297,0.7145522388059702,0.7332506658626062,0.07660732406828898,23
0.6692037677764893,0.138247965458269,0.2363315486907959,0.11485164759155855,1,0.4,3,0.3,1,300,10,3,0.3,12,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 300, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.3333333333333333,0.4444444444444445,0.5,0.4444444444444444,0.30769230769230765,0.34782608695652173,0.13333333333333333,0.125,0.11764705882352941,0.125,0.5333333333333333,0.26086956521739135,0.0,0.2222222222222222,0.5,0.1111111111111111,0.380952380952381,0.39999999999999997,0.11764705882352941,0.4210526315789474,0.19999999999999998,0.13333333333333333,0.2517030391573399,0.16575532369964568,25,0.33594168177501516,0.1573757492055307,0.24668053737821177,0.38337868480725623,0.3216269841269841,0.3385177595570599,0.38231870115928085,0.37264095381742435,0.3069740461381328,0.1897029803074885,0.2787417882707738,0.23349898492717577,0.25932320678080534,0.40447859244670514,0.21155174190888476,0.16527691988476303,0.23788837624363943,0.4849126751594635,0.1729482827642682,0.42259701083230494,0.45776305806731776,0.20326917091622973,0.4383100914679862,0.16773098531886377,0.21390550239234452,0.2954941786261564,0.09961189646055849,22,0.7592592592592593,0.5841750841750842,0.7760942760942761,0.7912457912457912,0.8041044776119403,0.7525252525252525,0.7474747474747474,0.8181818181818181,0.7811447811447811,0.6660447761194029,0.7676767676767677,0.7306397306397306,0.7306397306397306,0.7171717171717171,0.7238805970149254,0.6077441077441077,0.707070707070707,0.8636363636363636,0.5976430976430975,0.8526119402985075,0.8299663299663299,0.6599326599326598,0.813131313131313,0.6077441077441077,0.7220149253731343,0.7364701743806221,0.0779911788946942,18
0.7864044189453125,0.16405711336954376,0.21487786293029784,0.07364141712894769,1,0.4,5,0.2,1,400,5,3,0.3,5,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 5, 'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.125,0.0,0.2105263157894737,0.375,0.27586206896551724,0.5263157894736842,0.26666666666666666,0.30769230769230765,0.4761904761904762,0.33333333333333326,0.13333333333333333,0.1111111111111111,0.19999999999999998,0.5,0.3333333333333333,0.13333333333333333,0.19999999999999998,0.4761904761904762,0.11764705882352941,0.44444444444444436,0.4545454545454546,0.1111111111111111,0.5555555555555556,0.28571428571428575,0.2727272727272727,0.28902534913338795,0.15227551488683258,24,0.3402985331440616,0.15091588828329427,0.24821471798595982,0.34430678254207664,0.3230909002530351,0.3290771669291498,0.39401644739926817,0.35015262515262513,0.3137682091705081,0.24589048883403722,0.2696339752953474,0.20945616961352603,0.251162862705593,0.44604087668603803,0.3285079503829504,0.17402882664133618,0.22552413606676777,0.4332016983710873,0.1746289039477894,0.38066940579417896,0.40534160480968995,0.207322230574722,0.504720406681191,0.20180589042481628,0.24169331374413044,0.2997388004573272,0.09252272221936374,18,0.7727272727272727,0.5622895622895623,0.7777777777777778,0.8097643097643098,0.7555970149253731,0.771043771043771,0.7710437710437711,0.803030303030303,0.7861952861952861,0.7593283582089553,0.7609427609427609,0.7188552188552189,0.7356902356902357,0.7188552188552187,0.8097014925373134,0.6178451178451179,0.6750841750841751,0.8417508417508417,0.6077441077441077,0.8376865671641791,0.845117845117845,0.6717171717171716,0.8282828282828283,0.6767676767676768,0.7667910447761193,0.7472651892054877,0.0740899862801213,6
0.4897333526611328,0.1439643654462471,0.164913330078125,0.04953965051984393,1,0.4,5,0.2,2,200,15,3,0.3,16,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 5, 'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 2, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3157894736842105,0.0,0.28571428571428575,0.3333333333333333,0.43478260869565216,0.4545454545454546,0.2608695652173913,0.35294117647058826,0.43478260869565216,0.22222222222222218,0.19999999999999998,0.3,0.28571428571428575,0.5555555555555556,0.3333333333333333,0.2222222222222222,0.2105263157894737,0.4761904761904762,0.2105263157894737,0.411764705882353,0.3636363636363637,0.10526315789473685,0.4545454545454546,0.18181818181818185,0.11111111111111112,0.3006875283224725,0.1295953753803952,19,0.3876897923116411,0.14634982324052614,0.2663937913937914,0.2837485970819304,0.30572377501725323,0.38018697036996696,0.2965861086550742,0.37104593698521593,0.3482167614520556,0.19728026966195472,0.30388176638176634,0.26336058978194843,0.2228305852553253,0.47633476095752314,0.33767022352305603,0.19572279294083805,0.24876045896394736,0.3757665228253464,0.1868318101651435,0.3805270119743804,0.42295460175894956,0.20358643414198968,0.5752485063731531,0.1777618917153801,0.241960150595019,0.303856797340927,0.10070959591377054,15,0.8047138047138047,0.5572390572390572,0.7861952861952861,0.7828282828282829,0.7742537313432836,0.7491582491582491,0.7474747474747474,0.8148148148148149,0.8063973063973064,0.7164179104477613,0.7744107744107744,0.7373737373737373,0.6919191919191918,0.7154882154882155,0.792910447761194,0.6481481481481481,0.696969696969697,0.8417508417508417,0.6346801346801347,0.8395522388059702,0.8013468013468014,0.67003367003367,0.8383838383838383,0.6447811447811448,0.7350746268656716,0.7440926679732649,0.07183052616852312,9
0.8111555194854736,0.17318809546435276,0.2264390182495117,0.05359232233203866,1,0.4,3,0.3,1,400,15,8,0.3,12,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 3, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3157894736842105,0.18181818181818185,0.28571428571428575,0.39999999999999997,0.48,0.4166666666666667,0.33333333333333337,0.3,0.3846153846153846,0.3,0.32,0.1111111111111111,0.09999999999999999,0.5263157894736842,0.3333333333333333,0.1904761904761905,0.32,0.46153846153846156,0.19999999999999998,0.4166666666666667,0.5384615384615384,0.10526315789473685,0.4545454545454546,0.25,0.2105263157894737,0.3174470138049086,0.12502459770077434,12,0.35061358930924147,0.14596222353645513,0.3973887332710862,0.37615406036458665,0.28938452947761456,0.27646051984136766,0.37744125541239293,0.3675657990870973,0.2824450692109268,0.1863219634771359,0.34322409967571255,0.20853658024868932,0.2498830668488362,0.4049011106982121,0.2275255045728444,0.15097254262998738,0.24443858297813673,0.4837627663651055,0.2006877372592656,0.3947741147741147,0.457339737241698,0.18811326004770548,0.47043592608108736,0.20403852769177844,0.20823350311523284,0.29946419212865244,0.10136885851751232,19,0.7710437710437711,0.5404040404040403,0.8097643097643097,0.7828282828282829,0.8134328358208955,0.7474747474747474,0.7373737373737373,0.8232323232323232,0.755892255892256,0.6735074626865671,0.7828282828282829,0.6885521885521886,0.7441077441077442,0.696969696969697,0.7574626865671642,0.5841750841750841,0.7053872053872053,0.8535353535353535,0.638047138047138,0.8283582089552239,0.8383838383838383,0.6262626262626263,0.8367003367003367,0.6717171717171717,0.707089552238806,0.7365812352379515,0.08129108044282662,17
0.4365919780731201,0.09412797721850939,0.14836570739746094,0.07075913373002704,1,0.5,5,0.2,1,200,5,5,0.3,12,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 5, 'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.28571428571428575,0.0,0.28571428571428575,0.5,0.2777777777777778,0.4166666666666667,0.380952380952381,0.39999999999999997,0.46153846153846156,0.2857142857142857,0.30769230769230765,0.2608695652173913,0.27272727272727276,0.4210526315789474,0.375,0.09999999999999999,0.23076923076923078,0.5,0.2608695652173913,0.36363636363636365,0.46153846153846156,0.09999999999999999,0.380952380952381,0.25,0.35714285714285715,0.31745315122202994,0.12184411074468746,11,0.32073982709197013,0.13772638366532908,0.4092923380966859,0.37942448163658316,0.3309331283970418,0.3309264809264809,0.4097460586519725,0.33805361305361303,0.3244304245067022,0.21892346564725595,0.2861512730793776,0.23875696721225173,0.2772445820433436,0.40794125627458966,0.3225302840434419,0.1567784914117725,0.23370994995096428,0.439083820662768,0.17330400392707473,0.3784992419860841,0.49095917237472103,0.19038690401593628,0.5138692626577941,0.19072931184042294,0.21825396825396826,0.3087357876563258,0.10229588982733773,13,0.7323232323232324,0.5370370370370371,0.8148148148148148,0.7693602693602694,0.7555970149253731,0.771043771043771,0.7070707070707071,0.8080808080808081,0.7744107744107744,0.7332089552238805,0.7727272727272727,0.7070707070707071,0.7626262626262625,0.6952861952861953,0.8078358208955223,0.5909090909090908,0.6885521885521886,0.8047138047138047,0.5925925925925926,0.8339552238805971,0.8518518518518519,0.6447811447811448,0.7895622895622896,0.6447811447811448,0.7537313432835822,0.7337569727121966,0.07926440902600869,22
0.5495702075958252,0.062220205998572836,0.12598716735839843,0.026186240363086973,1,0.5,5,0.3,1,400,5,8,sqrt,12,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 5, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.43478260869565216,0.08695652173913043,0.46153846153846156,0.4,0.36363636363636365,0.3703703703703704,0.30769230769230765,0.5454545454545455,0.3703703703703704,0.18181818181818182,0.2857142857142857,0.15384615384615383,0.28571428571428575,0.4166666666666667,0.37037037037037035,0.13793103448275865,0.41379310344827586,0.4,0.16666666666666669,0.2962962962962963,0.4,0.08695652173913043,0.43478260869565216,0.4166666666666667,0.2727272727272727,0.32243006657399464,0.12174500867186325,7,0.3818340265399089,0.13437112473522272,0.5297514830848165,0.36652459672509796,0.24113729837414047,0.26921750400452227,0.28486219853036443,0.4586124401913876,0.28377521236073866,0.1934305576258993,0.4589824762506321,0.23046165892905382,0.28814231314231314,0.381292771047371,0.280925844988345,0.13042319655713333,0.3240519218967495,0.38691445582698536,0.2750354421407053,0.46031542382348833,0.39747008217970103,0.19952738420995753,0.4940798002702764,0.2665887500295706,0.21703089754728605,0.3173903544404667,0.10787021045312419,8,0.8198653198653199,0.5303030303030303,0.8670033670033669,0.7592592592592593,0.7555970149253731,0.7643097643097643,0.7037037037037037,0.8602693602693603,0.7373737373737373,0.7182835820895522,0.8164983164983165,0.6952861952861953,0.7794612794612794,0.7053872053872055,0.7947761194029851,0.5269360269360269,0.7811447811447811,0.8198653198653199,0.6851851851851851,0.832089552238806,0.8148148148148148,0.6666666666666666,0.8063973063973064,0.6851851851851852,0.7220149253731343,0.745907080757827,0.08493435216244448,8
0.5351741695404053,0.07104160315919474,0.13238094329833985,0.030624921575916196,1,0.4,5,0.2,1,400,15,3,sqrt,5,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.4, 'sampler_nearmiss__n_neighbors': 5, 'sampler_adasyn__sampling_strategy': 0.2, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.26666666666666666,0.1111111111111111,0.25,0.4444444444444444,0.358974358974359,0.3157894736842105,0.3157894736842105,0.4,0.28571428571428575,0.2962962962962963,0.4210526315789474,0.1111111111111111,0.27272727272727276,0.5882352941176471,0.3529411764705882,0.2222222222222222,0.23529411764705882,0.4166666666666667,0.25,0.48275862068965514,0.4800000000000001,0.10526315789473685,0.3333333333333333,0.1904761904761905,0.20689655172413796,0.3085505782894061,0.12022065230791189,14,0.36812576848808726,0.16759129397315609,0.4578064613529757,0.4316075148007922,0.2805249953579447,0.30327362339557457,0.2829326378176953,0.4376178312959922,0.33270228809846303,0.21283424908424908,0.4836683616716987,0.22239155167706381,0.26935012652403956,0.4118590337216207,0.2912961541933736,0.1710325033837939,0.36668803418803414,0.450552104899931,0.1966755123101872,0.49775636264606854,0.44625220458553794,0.19120601551300398,0.4517825168753961,0.24310084075892036,0.2072969311502425,0.3270369967105537,0.10757660663628257,3,0.835016835016835,0.6026936026936027,0.8148148148148148,0.8097643097643097,0.7798507462686568,0.7558922558922558,0.7575757575757576,0.8619528619528619,0.7710437710437711,0.7388059701492538,0.7946127946127945,0.7138047138047138,0.7643097643097643,0.734006734006734,0.794776119402985,0.5774410774410774,0.7744107744107744,0.867003367003367,0.606060606060606,0.8973880597014926,0.8383838383838385,0.6515151515151515,0.8080808080808081,0.6835016835016836,0.7220149253731343,0.7581888537112418,0.08184559690036507,1
0.2968922519683838,0.05074576493465041,0.10841402053833007,0.027199080714879056,1,0.5,3,0.3,1,200,15,8,sqrt,8,balanced,True,"{'sampler_nearmiss__version': 1, 'sampler_nearmiss__sampling_strategy': 0.5, 'sampler_nearmiss__n_neighbors': 3, 'sampler_adasyn__sampling_strategy': 0.3, 'sampler_adasyn__n_neighbors': 1, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.5217391304347826,0.08333333333333334,0.5,0.4,0.3333333333333333,0.24000000000000005,0.30769230769230765,0.46153846153846156,0.3846153846153846,0.1904761904761905,0.30769230769230765,0.21428571428571427,0.380952380952381,0.380952380952381,0.4166666666666667,0.16666666666666669,0.46153846153846156,0.42857142857142855,0.17391304347826086,0.37037037037037035,0.35714285714285715,0.14814814814814814,0.4166666666666667,0.33333333333333326,0.36363636363636365,0.33373059726103205,0.11457083638381128,4,0.38670608144292357,0.14360696750219723,0.5931461934751409,0.3190381419781765,0.2534408939014202,0.26188712522045854,0.3098101961157348,0.5059591642924977,0.31964403650424594,0.19387334157070998,0.45260526510526505,0.2204235255918973,0.2969898928232262,0.3533380715470268,0.2662337662337662,0.14189885398642724,0.39124524108184233,0.40247987747898784,0.25951591103192934,0.42107672021465126,0.4577134557526714,0.20576611462765018,0.47908496732026146,0.19923752668441758,0.23358934971838197,0.3227324272480763,0.116149044290634,4,0.8400673400673401,0.5471380471380471,0.8855218855218856,0.7138047138047139,0.7686567164179103,0.7424242424242424,0.7474747474747474,0.8569023569023568,0.7542087542087541,0.7257462686567164,0.8097643097643098,0.664983164983165,0.7811447811447811,0.6818181818181818,0.7555970149253731,0.5437710437710438,0.7912457912457912,0.8063973063973064,0.7003367003367003,0.8488805970149254,0.8181818181818181,0.6599326599326598,0.8181818181818182,0.6717171717171717,0.7425373134328359,0.747057389818584,0.08505766168567822,7
