mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler__sampling_strategy,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.7391740417480469,0.21595044846771452,0.26379697799682617,0.1126287007411039,0.3,400,5,8,0.5,16,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.5, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4444444444444444,0.1111111111111111,0.16666666666666669,0.15384615384615383,0.380952380952381,0.30769230769230765,0.33333333333333337,0.46153846153846156,0.23076923076923078,0.1739130434782609,0.3,0.16,0.2857142857142857,0.39999999999999997,0.18181818181818182,0.14814814814814814,0.08,0.3846153846153846,0.4444444444444444,0.48,0.1935483870967742,0.380952380952381,0.37500000000000006,0.2608695652173913,0.1739130434782609,0.2805316382127041,0.11955063978621698,2,0.3921555516793612,0.1706146400174924,0.1872724848660981,0.19639077090281828,0.3101462896371363,0.2910274423432318,0.2294508412155471,0.30314018769901124,0.18946598988006855,0.16960755627758564,0.2985065870649395,0.17548501190833393,0.2181937701674544,0.38099818920714446,0.1865629614950267,0.17345204769008576,0.16870079432138738,0.3986419430576518,0.3819571339686282,0.25723928684376973,0.3031927097444339,0.2803029093878767,0.3631366826488777,0.31200769865755384,0.16733314728597745,0.2601993051186997,0.07968674465471696,23,0.8215488215488216,0.6026936026936027,0.6565656565656566,0.6582491582491583,0.8003731343283582,0.7895622895622896,0.6969696969696969,0.8400673400673401,0.6397306397306397,0.6100746268656716,0.835016835016835,0.6296296296296297,0.7390572390572391,0.7171717171717171,0.6716417910447762,0.5925925925925926,0.5757575757575757,0.82996632996633,0.8148148148148148,0.7966417910447761,0.7154882154882155,0.7861952861952861,0.8282828282828283,0.696969696969697,0.5932835820895522,0.717533795668124,0.08884709200216864,13
0.6640967655181885,0.10690208485607731,0.17918892860412597,0.06828572064463402,0.2,400,5,3,0.3,8,balanced,True,"{'sampler__sampling_strategy': 0.2, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.1818181818181818,0.0,0.0,0.0,0.14285714285714288,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.1818181818181818,0.0,0.0,0.15384615384615383,0.0,0.19999999999999998,0.0,0.05708025308025308,0.10129489627479435,24,0.44117909437676883,0.1698388552789318,0.19943385952574005,0.2438625160847383,0.3065949675324675,0.27947016094573424,0.31681783824640963,0.4575199573006591,0.1719760289000485,0.17206054911113228,0.4127140626415989,0.20457344227693067,0.2965087137955355,0.3627586206896552,0.137684703650728,0.1522326704314057,0.18733091145371847,0.35771789508223617,0.2612356091758017,0.2996236832443729,0.27392967202289237,0.3674402593712056,0.24708091945943608,0.4046812493387971,0.19505522271676431,0.27677285850614836,0.09304648670138563,5,0.8451178451178452,0.5909090909090909,0.6102693602693602,0.7154882154882155,0.6707089552238806,0.7255892255892257,0.7289562289562289,0.9006734006734007,0.6195286195286195,0.6277985074626865,0.8232323232323232,0.6287878787878787,0.6717171717171717,0.6691919191919191,0.6082089552238805,0.6111111111111112,0.6750841750841751,0.8063973063973064,0.5824915824915824,0.8022388059701493,0.7542087542087542,0.8434343434343435,0.7037037037037037,0.7356902356902357,0.666044776119403,0.7046632996632997,0.08843200569737103,22
0.7404811954498292,0.0852097257406917,0.1827879238128662,0.06398293027573744,0.3,400,15,8,0.3,16,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4444444444444444,0.0,0.18181818181818185,0.16666666666666669,0.3157894736842105,0.34782608695652173,0.33333333333333337,0.42857142857142855,0.32,0.22222222222222218,0.28571428571428575,0.18181818181818185,0.08333333333333334,0.4761904761904762,0.18181818181818182,0.14814814814814814,0.14814814814814814,0.3448275862068966,0.4210526315789474,0.48,0.36363636363636365,0.2105263157894737,0.42424242424242425,0.27272727272727276,0.1739130434782609,0.27827072922109614,0.12694445726600825,3,0.4227296187441115,0.16899223527576018,0.18584393097799254,0.2223289842987616,0.3075794456229239,0.29190472808358986,0.2535352237106623,0.3893068436237317,0.1979387862900408,0.16661081508598552,0.2949213271793917,0.16475683461897672,0.21717488164856585,0.38479981566526533,0.18033217537293622,0.1682868615032358,0.19501397616235014,0.3976845104981306,0.38473216954508227,0.27786929411866024,0.3090492290460321,0.2630634986629139,0.3845628147795331,0.3378504667755414,0.1735248447204969,0.2696157324804269,0.0860168144459055,11,0.8518518518518519,0.6111111111111112,0.6784511784511784,0.6582491582491582,0.8003731343283582,0.7946127946127945,0.7070707070707071,0.8653198653198654,0.6447811447811448,0.6194029850746269,0.8265993265993267,0.6111111111111112,0.744107744107744,0.7255892255892255,0.667910447761194,0.6026936026936027,0.606060606060606,0.81986531986532,0.8215488215488216,0.8115671641791045,0.7222222222222221,0.7912457912457913,0.8518518518518519,0.7323232323232323,0.6026119402985074,0.7267412935323384,0.08968633558554755,1
0.5626394557952881,0.12753699063321586,0.17289560317993163,0.05540349508607841,0.3,300,15,8,0.3,12,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 300, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4444444444444444,0.09999999999999999,0.18181818181818185,0.16666666666666669,0.3157894736842105,0.34782608695652173,0.34782608695652173,0.46153846153846156,0.32,0.23076923076923078,0.28571428571428575,0.17391304347826086,0.16,0.4761904761904762,0.18181818181818182,0.14814814814814814,0.14814814814814814,0.3448275862068966,0.4210526315789474,0.46153846153846156,0.30303030303030304,0.3,0.42424242424242425,0.27272727272727276,0.1739130434782609,0.28767770556537225,0.11429776976347213,1,0.42464622066071345,0.1688133846028583,0.18579282181823017,0.22396260178948843,0.3064033189033189,0.291482586871975,0.2521974031777954,0.3772698065866946,0.1929159318048207,0.16519108771227742,0.2934353131933777,0.16913744309093143,0.21724360850757404,0.3833458226595482,0.17669552114665937,0.1677984610148353,0.19604352041367545,0.4119872925428481,0.38386373706570753,0.27402263790131437,0.2984237110054434,0.2674546270597014,0.39339972186205413,0.32946274337578685,0.17342916819400583,0.2689767397184654,0.08646251791764063,13,0.8501683501683501,0.6144781144781144,0.6784511784511784,0.6599326599326599,0.8022388059701493,0.7962962962962963,0.7037037037037037,0.861952861952862,0.6430976430976431,0.6063432835820896,0.8265993265993267,0.6144781144781145,0.7407407407407407,0.7323232323232323,0.667910447761194,0.5993265993265993,0.6094276094276094,0.8265993265993267,0.8181818181818181,0.8078358208955223,0.7104377104377104,0.7929292929292929,0.8518518518518516,0.7373737373737373,0.5988805970149254,0.726062364942962,0.09019835397467629,2
0.38451605796813965,0.07983087364462776,0.11589376449584961,0.03327725122388676,0.2,200,5,5,0.3,5,balanced,True,"{'sampler__sampling_strategy': 0.2, 'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.3, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.0,0.16666666666666666,0.0,0.14285714285714288,0.0,0.375,0.30769230769230765,0.0,0.0,0.0,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,0.0,0.1818181818181818,0.16666666666666666,0.0,0.0,0.15384615384615383,0.1818181818181818,0.19999999999999998,0.15384615384615385,0.11358941058941058,0.12406172434010627,20,0.46739036739036743,0.18410004808510666,0.2105200779514117,0.24586301125531512,0.3068098972412109,0.26840375324336957,0.31623503202450565,0.4227357609710551,0.16004012671195333,0.16321989081356308,0.2996632123282755,0.2111636218610214,0.23399012911208034,0.3995963617702748,0.13574450063227153,0.16222577093639157,0.17793937706218407,0.3794534993711721,0.2655297186583311,0.2831890331890332,0.2692862585782225,0.38862433862433865,0.23607834462906926,0.38896539663803087,0.22502996062318098,0.2720718995880695,0.09050789965684582,8,0.8636363636363636,0.6599326599326599,0.6380471380471381,0.7255892255892256,0.6940298507462687,0.7239057239057239,0.7373737373737373,0.8905723905723906,0.5942760942760943,0.5914179104477613,0.803030303030303,0.6153198653198653,0.6784511784511784,0.7104377104377104,0.5988805970149254,0.6338383838383839,0.6565656565656566,0.8080808080808081,0.5808080808080808,0.8022388059701493,0.7491582491582492,0.8501683501683501,0.6742424242424242,0.7811447811447811,0.6847014925373135,0.7098339112518218,0.08840480382008016,17
0.685409574508667,0.12150041706557846,0.21405351638793946,0.08680534081273276,0.2,400,15,3,0.5,12,balanced,True,"{'sampler__sampling_strategy': 0.2, 'rf__n_estimators': 400, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.0,0.0,0.0,0.26666666666666666,0.0,0.375,0.15384615384615383,0.0,0.0,0.0,0.1818181818181818,0.14285714285714285,0.4,0.0,0.0,0.0,0.30769230769230765,0.1818181818181818,0.0,0.16666666666666666,0.15384615384615383,0.16666666666666666,0.19999999999999998,0.15384615384615385,0.12736230436230433,0.1303960432809673,19,0.5136476394619975,0.19518886113313358,0.20855453292428083,0.23669437097354717,0.29053268887285705,0.27817796358502966,0.3208283297853629,0.4831888880908489,0.16403479334935883,0.16264028047116283,0.5016095331213455,0.2812896396669216,0.2873558090929244,0.30236982831410075,0.13944844554914834,0.17113566510118233,0.1914075385372162,0.33194339753536933,0.2870938320938321,0.30792826262465733,0.3041831008497675,0.3534815828294089,0.2473464442211137,0.35157001020187073,0.30051420488450564,0.2884866257308378,0.09848766340726495,2,0.8434343434343434,0.6464646464646465,0.6430976430976431,0.7171717171717171,0.6324626865671641,0.7087542087542087,0.6885521885521885,0.8939393939393939,0.5841750841750841,0.5634328358208955,0.8451178451178452,0.601010101010101,0.6784511784511784,0.648148148148148,0.6156716417910448,0.6548821548821548,0.67003367003367,0.7962962962962963,0.6203703703703705,0.7611940298507464,0.7474747474747475,0.8265993265993266,0.7045454545454546,0.7382154882154882,0.7276119402985075,0.7022842856424947,0.08607637223780842,23
0.32731334686279295,0.07003783505521016,0.15508122444152833,0.09419783306801757,0.3,200,5,5,sqrt,8,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 200, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 'sqrt', 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.26666666666666666,0.1111111111111111,0.1904761904761905,0.27272727272727276,0.26666666666666666,0.39999999999999997,0.3157894736842105,0.47058823529411764,0.2105263157894737,0.2105263157894737,0.0,0.17391304347826086,0.10526315789473685,0.4,0.1904761904761905,0.15384615384615383,0.2758620689655173,0.39999999999999997,0.3157894736842105,0.45454545454545453,0.3448275862068966,0.19999999999999998,0.5,0.23529411764705882,0.14285714285714288,0.26431010551227224,0.12279092418092215,4,0.3439584489584489,0.17529781593249086,0.17658931470832678,0.2516846156631103,0.2422686541221024,0.29496753246753243,0.27751492437282455,0.4870099036765703,0.2714217706519091,0.17081746590246472,0.2520849592908416,0.18510196230749448,0.1942310961719634,0.32697510834511356,0.2900132275132275,0.15607946882456686,0.19361316641488707,0.3825720903735088,0.2824188923039498,0.385813492063492,0.513425925925926,0.2723977660083137,0.4889077389077388,0.27259547867923645,0.13376326653776913,0.28086096344495237,0.10327632618459245,3,0.8131313131313131,0.5757575757575758,0.6599326599326599,0.7003367003367003,0.7425373134328358,0.7845117845117845,0.7087542087542088,0.8333333333333333,0.5909090909090909,0.6268656716417911,0.7828282828282828,0.6279461279461279,0.6919191919191919,0.6919191919191919,0.6772388059701493,0.5723905723905724,0.6801346801346801,0.7710437710437711,0.7542087542087542,0.8488805970149254,0.7794612794612795,0.7946127946127947,0.8737373737373737,0.7003367003367003,0.539179104477612,0.712876275189708,0.08957583796525637,16
0.7736569595336914,0.16450262755325984,0.2673959255218506,0.07811874733296958,0.3,400,5,5,0.5,5,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.5, 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4444444444444444,0.0,0.10526315789473685,0.17391304347826086,0.2105263157894737,0.3636363636363637,0.27272727272727276,0.28571428571428575,0.2608695652173913,0.2,0.39999999999999997,0.1904761904761905,0.16666666666666669,0.39999999999999997,0.1739130434782609,0.14814814814814814,0.08333333333333334,0.33333333333333337,0.4444444444444444,0.3,0.20689655172413793,0.28571428571428575,0.4,0.27272727272727276,0.10526315789473685,0.2491204350737216,0.11656568587001918,10,0.3986194867810672,0.1713180582079986,0.18374466635844086,0.19840136108400053,0.30591498818491225,0.28779164093809406,0.21831748183381172,0.3123141927063496,0.21461946356552047,0.15920804685510567,0.2966515038448584,0.17724007674895279,0.21594835440746674,0.37884236315608866,0.27715014001231864,0.17868229265288088,0.17697506686208983,0.34149957788560936,0.3793527429841348,0.2957264369758031,0.2493393213153128,0.2863138358227501,0.3387769637769638,0.32074647762274533,0.18753572493398074,0.2620412106206903,0.07275473381157155,21,0.8265993265993266,0.6380471380471381,0.6439393939393938,0.6582491582491582,0.8097014925373134,0.7912457912457913,0.6868686868686869,0.8468013468013468,0.6801346801346801,0.5597014925373134,0.8164983164983164,0.6296296296296297,0.7356902356902357,0.7289562289562289,0.6744402985074627,0.6094276094276094,0.5404040404040404,0.8518518518518519,0.8181818181818181,0.8246268656716418,0.7154882154882155,0.7777777777777778,0.8181818181818182,0.7154882154882155,0.6044776119402985,0.7200963616262124,0.09251129472898205,10
0.6299158477783203,0.14608976150444605,0.2004011631011963,0.03130569047160913,0.3,300,15,3,0.3,8,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 300, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.375,0.0,0.11764705882352941,0.17391304347826086,0.35294117647058826,0.3,0.28571428571428575,0.2105263157894737,0.25,0.23529411764705882,0.39999999999999997,0.19999999999999998,0.1904761904761905,0.4,0.18181818181818182,0.14814814814814814,0.09523809523809525,0.33333333333333337,0.4444444444444444,0.3157894736842105,0.17391304347826086,0.1111111111111111,0.4,0.3157894736842105,0.1,0.2444438997335753,0.11494562821112692,13,0.4286255565027943,0.1645042215260133,0.178654224745556,0.20524270357119195,0.29119209522822054,0.3060040422802166,0.2529714307790091,0.30664125213461074,0.23489657764673666,0.19775180357127553,0.3042742551566081,0.1773927135563509,0.21353816776525392,0.36785806785806785,0.27599328023547065,0.18684317357759275,0.2413700989404725,0.2985646005760948,0.3575723042389709,0.32112268518518516,0.23617759722832188,0.2816353006757804,0.3739057239057239,0.3634349299310936,0.18518206108103866,0.27005395471590604,0.07156614092319309,9,0.84006734006734,0.6245791245791246,0.6599326599326599,0.6582491582491583,0.8171641791044777,0.7979797979797979,0.7121212121212122,0.8383838383838385,0.6919191919191919,0.5970149253731344,0.8198653198653199,0.627946127946128,0.7323232323232324,0.7323232323232323,0.6399253731343284,0.6178451178451179,0.5858585858585859,0.8131313131313131,0.7946127946127947,0.8339552238805971,0.7070707070707071,0.7912457912457912,0.8434343434343434,0.7272727272727272,0.5932835820895522,0.7239001959897482,0.08797324328215846,3
0.47451277732849123,0.07674996811697307,0.19541481971740723,0.06498168318564586,0.3,200,10,3,0.5,8,balanced,True,"{'sampler__sampling_strategy': 0.3, 'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.35294117647058826,0.0,0.10526315789473685,0.1904761904761905,0.23529411764705882,0.380952380952381,0.28571428571428575,0.28571428571428575,0.2105263157894737,0.11111111111111112,0.35294117647058826,0.10526315789473685,0.1904761904761905,0.375,0.2,0.14814814814814814,0.09999999999999999,0.34782608695652173,0.4444444444444444,0.33333333333333326,0.2608695652173913,0.3,0.3703703703703704,0.3157894736842105,0.10526315789473685,0.24430872506643136,0.11319678387864174,14,0.4206991411701556,0.16196770441939526,0.18268547232303256,0.19820961599132886,0.2794865673542144,0.3082876665485361,0.225166754115515,0.307410454469278,0.22060133983797015,0.15670249795249794,0.31356384821313554,0.1813122644505623,0.20776761317682033,0.36418114896375764,0.27847646291973505,0.19287690019955467,0.17675831523349256,0.30992564534231204,0.3657046680317121,0.3134404937523599,0.22500353833687164,0.2812467726631813,0.3215742347321295,0.35152483640081944,0.17977169319935438,0.2609738259919089,0.0734365865208353,22,0.8198653198653199,0.6279461279461279,0.6422558922558923,0.6616161616161617,0.8003731343283582,0.8080808080808081,0.6919191919191919,0.8400673400673401,0.6851851851851852,0.5345149253731343,0.8114478114478114,0.6447811447811448,0.7087542087542087,0.7255892255892256,0.664179104477612,0.6043771043771043,0.5505050505050505,0.8333333333333333,0.8063973063973063,0.8376865671641791,0.7121212121212122,0.7777777777777777,0.8181818181818182,0.7205387205387205,0.5774253731343284,0.716196793808734,0.09370082312415949,15
