threshold,precision,recall,f1,accuracy
0.30999999999999994,0.22173274596182085,0.6863636363636364,0.33518312985571586,0.6805333333333333
0.31999999999999995,0.22074074074074074,0.6772727272727272,0.33296089385474864,0.6816
0.3,0.21794871794871795,0.6954545454545454,0.3318872017353579,0.6714666666666667
0.36999999999999994,0.22641509433962265,0.6,0.3287671232876712,0.7125333333333334
0.32999999999999996,0.2188449848024316,0.6545454545454545,0.32801822323462415,0.6853333333333333
0.25999999999999995,0.2096569250317662,0.75,0.3277060575968223,0.6389333333333334
0.35999999999999993,0.2235294117647059,0.6045454545454545,0.3263803680981595,0.7072
0.3499999999999999,0.22149837133550487,0.6181818181818182,0.3261390887290168,0.7002666666666667
0.4099999999999999,0.23333333333333334,0.5409090909090909,0.326027397260274,0.7376
0.26999999999999996,0.20915032679738563,0.7272727272727273,0.3248730964467005,0.6453333333333333
0.33999999999999997,0.21855345911949686,0.6318181818181818,0.3247663551401869,0.6917333333333333
0.29,0.21074380165289255,0.6954545454545454,0.32346723044397463,0.6586666666666666
0.24999999999999994,0.2057001239157373,0.7545454545454545,0.32327166504381694,0.6293333333333333
0.27999999999999997,0.20883534136546184,0.7090909090909091,0.32264736297828334,0.6506666666666666
0.24,0.2041062801932367,0.7681818181818182,0.32251908396946566,0.6213333333333333
0.3999999999999999,0.2274436090225564,0.55,0.3218085106382979,0.728
0.41999999999999993,0.23232323232323232,0.5227272727272727,0.32167832167832167,0.7413333333333333
0.37999999999999995,0.2222222222222222,0.5727272727272728,0.32020330368487926,0.7146666666666667
0.38999999999999996,0.2230347349177331,0.5545454545454546,0.318122555410691,0.7210666666666666
0.22999999999999998,0.20023696682464456,0.7681818181818182,0.3176691729323309,0.6128
0.21999999999999997,0.1976878612716763,0.7772727272727272,0.3152073732718894,0.6037333333333333
0.42999999999999994,0.22916666666666666,0.5,0.3142857142857143,0.744
0.20999999999999996,0.19503945885005636,0.7863636363636364,0.3125564588979223,0.5941333333333333
0.19999999999999996,0.19188596491228072,0.7954545454545454,0.3091872791519435,0.5829333333333333
0.19,0.18783351120597652,0.8,0.30423509075194466,0.5706666666666667
0.43999999999999995,0.22365591397849463,0.4727272727272727,0.30364963503649633,0.7456
0.48999999999999994,0.23604060913705585,0.42272727272727273,0.30293159609120524,0.7717333333333334
0.4799999999999999,0.23095823095823095,0.42727272727272725,0.29984051036682613,0.7658666666666667
0.4499999999999999,0.22321428571428573,0.45454545454545453,0.2994011976047904,0.7504
0.18,0.18314255983350677,0.8,0.29805249788314986,0.5578666666666666
0.4599999999999999,0.2237442922374429,0.44545454545454544,0.2978723404255319,0.7536
0.16999999999999998,0.18163471241170534,0.8181818181818182,0.29727497935590425,0.5461333333333334
0.4699999999999999,0.22511848341232227,0.4318181818181818,0.2959501557632399,0.7589333333333333
0.15999999999999998,0.1780821917808219,0.8272727272727273,0.29307568438003223,0.5317333333333333
0.14999999999999997,0.17490494296577946,0.8363636363636363,0.2893081761006289,0.5178666666666667
0.49999999999999994,0.22811671087533156,0.39090909090909093,0.288107202680067,0.7733333333333333
0.13999999999999999,0.17282809611829944,0.85,0.2872503840245776,0.5050666666666667
0.12,0.167985927880387,0.8681818181818182,0.2815033161385409,0.48
0.13,0.16845878136200718,0.8545454545454545,0.281437125748503,0.488
0.5099999999999999,0.22346368715083798,0.36363636363636365,0.2768166089965398,0.7770666666666667
0.10999999999999999,0.1634208298052498,0.8772727272727273,0.2755174875089222,0.45866666666666667
0.09999999999999999,0.15944399018806213,0.8863636363636364,0.27027027027027023,0.4384
0.5199999999999999,0.22093023255813954,0.34545454545454546,0.2695035460992908,0.7802666666666667
0.09,0.15818759936406995,0.9045454545454545,0.26928281461434367,0.424
0.08,0.15272448196469685,0.9045454545454545,0.2613263296126067,0.4
0.5299999999999999,0.21194029850746268,0.32272727272727275,0.25585585585585585,0.7797333333333333
0.07,0.14836795252225518,0.9090909090909091,0.25510204081632654,0.37706666666666666
0.5399999999999999,0.2118380062305296,0.3090909090909091,0.2513863216266174,0.784
0.06,0.14275568181818182,0.9136363636363637,0.24692874692874697,0.34613333333333335
0.5499999999999999,0.21122112211221122,0.2909090909090909,0.2447418738049713,0.7893333333333333
0.05,0.13963039014373715,0.9272727272727272,0.24271267102914929,0.32106666666666667
0.5599999999999999,0.21180555555555555,0.2772727272727273,0.24015748031496062,0.7941333333333334
0.57,0.20938628158844766,0.2636363636363636,0.2334004024144869,0.7968
0.58,0.19923371647509577,0.23636363636363636,0.2162162162162162,0.7989333333333334
0.59,0.20161290322580644,0.22727272727272727,0.21367521367521367,0.8037333333333333
0.62,0.22277227722772278,0.20454545454545456,0.2132701421800948,0.8229333333333333
0.61,0.2112676056338028,0.20454545454545456,0.20785219399538107,0.8170666666666667
0.6399999999999999,0.22702702702702704,0.19090909090909092,0.2074074074074074,0.8288
0.6499999999999999,0.23295454545454544,0.18636363636363637,0.20707070707070707,0.8325333333333333
0.63,0.2198952879581152,0.19090909090909092,0.20437956204379562,0.8256
0.6,0.19827586206896552,0.20909090909090908,0.20353982300884954,0.808
0.6599999999999999,0.2235294117647059,0.17272727272727273,0.1948717948717949,0.8325333333333333
0.6699999999999999,0.22012578616352202,0.1590909090909091,0.18469656992084432,0.8352
0.6799999999999999,0.22818791946308725,0.15454545454545454,0.18428184281842816,0.8394666666666667
0.71,0.24603174603174602,0.1409090909090909,0.1791907514450867,0.8485333333333334
0.69,0.22695035460992907,0.14545454545454545,0.17728531855955676,0.8416
0.7,0.22794117647058823,0.1409090909090909,0.17415730337078653,0.8432
