threshold,precision,recall,net_benefit_model,net_benefit_treat_all,net_benefit_treat_none
0.4599999999999999,0.2259475218658892,0.7045454545454546,-0.15849324804548684,-0.634683724235963,0.0
0.4499999999999999,0.2162849872773536,0.7727272727272727,-0.1780383795309169,-0.6049622019771271,0.0
0.4699999999999999,0.2334494773519163,0.6090909090909091,-0.13656112966166484,-0.6655268133724905,0.0
0.4799999999999999,0.245798319327731,0.5318181818181819,-0.11427751353124495,-0.6975561751681154,0.0
0.4899999999999999,0.258575197889182,0.4454545454545454,-0.09167398302604621,-0.73084159036749,0.0
0.4999999999999999,0.282312925170068,0.3772727272727272,-0.068230277185501,-0.7654584221748397,0.0
0.4399999999999999,0.1970884658454647,0.8,-0.20648035333536394,-0.5763021626561071,0.0
0.4299999999999999,0.1819960861056751,0.8454545454545455,-0.2370291400142146,-0.5486477387498595,0.0
0.4199999999999999,0.1738351254480286,0.8818181818181818,-0.25248143518858907,-0.5219469156679654,0.0
0.4099999999999999,0.1620745542949757,0.9090909090909092,-0.2764085143290808,-0.49615120523291517,0.0
0.3999999999999999,0.1516936671575846,0.9363636363636364,-0.2995735607675908,-0.47121535181236657,0.0
0.5099999999999999,0.2579185520361991,0.2590909090909091,-0.06060441234062916,-0.8014881858926937,0.0
0.3899999999999999,0.1466113416320885,0.9636363636363636,-0.3075430808486839,-0.447097067356426,0.0
0.3799999999999999,0.140625,0.9818181818181818,-0.316115276153793,-0.4237567920764837,0.0
0.3699999999999999,0.1338244321669736,0.990909090909091,-0.3255237418350423,-0.4011574779165395,0.0
0.3599999999999999,0.1283107710417892,0.990909090909091,-0.32785847547974417,-0.37926439232409354,0.0
0.3499999999999999,0.1247872943845717,1.0,-0.32561095620797115,-0.3580449401344922,0.0
0.5199999999999999,0.2777777777777778,0.1818181818181818,-0.03873489694385214,-0.8390191897654582,0.0
0.3399999999999999,0.1213458356315499,1.0,-0.3201686373328163,-0.33746850164760595,0.0
0.3299999999999999,0.1195652173913043,1.0,-0.30805460968080706,-0.3175062852051043,0.0
0.3199999999999999,0.1182795698924731,1.0,-0.2941176470588233,-0.29813119277561745,0.0
0.3099999999999999,0.1177730192719486,1.0,-0.2774018108216678,-0.27931769722814476,0.0
0.3,0.1173959445037353,1.0,-0.26058483094730434,-0.2610417301248858,0.0
0.05,0.1173333333333333,1.0,0.07083941196274265,0.07081135675008415,0.0
0.06,0.1173333333333333,1.0,0.06096039559043685,0.0609263711835957,0.0
0.07,0.1173333333333333,1.0,0.0508689272531352,0.05082880528234403,0.0
0.08,0.1173333333333333,1.0,0.040558079169370514,0.04051172707889125,0.0
0.09,0.1173333333333333,1.0,0.03002061903980878,0.029967899903934017,0.0
0.0999999999999999,0.1173333333333333,1.0,0.01924899312959022,0.019189765458422284,0.0
0.1099999999999999,0.1173333333333333,1.0,0.008235308210153156,0.008169425744471964,0.0
0.12,0.1173333333333333,1.0,-0.0030286877301803072,-0.0031013762357045976,0.0
