mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sampler__sampling_strategy,param_sampler__k_neighbors,param_rf__n_estimators,param_rf__min_samples_split,param_rf__min_samples_leaf,param_rf__max_features,param_rf__max_depth,param_rf__class_weight,param_rf__bootstrap,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,split10_test_f1,split11_test_f1,split12_test_f1,split13_test_f1,split14_test_f1,split15_test_f1,split16_test_f1,split17_test_f1,split18_test_f1,split19_test_f1,split20_test_f1,split21_test_f1,split22_test_f1,split23_test_f1,split24_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_pr_auc,split1_test_pr_auc,split2_test_pr_auc,split3_test_pr_auc,split4_test_pr_auc,split5_test_pr_auc,split6_test_pr_auc,split7_test_pr_auc,split8_test_pr_auc,split9_test_pr_auc,split10_test_pr_auc,split11_test_pr_auc,split12_test_pr_auc,split13_test_pr_auc,split14_test_pr_auc,split15_test_pr_auc,split16_test_pr_auc,split17_test_pr_auc,split18_test_pr_auc,split19_test_pr_auc,split20_test_pr_auc,split21_test_pr_auc,split22_test_pr_auc,split23_test_pr_auc,split24_test_pr_auc,mean_test_pr_auc,std_test_pr_auc,rank_test_pr_auc,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,split10_test_roc_auc,split11_test_roc_auc,split12_test_roc_auc,split13_test_roc_auc,split14_test_roc_auc,split15_test_roc_auc,split16_test_roc_auc,split17_test_roc_auc,split18_test_roc_auc,split19_test_roc_auc,split20_test_roc_auc,split21_test_roc_auc,split22_test_roc_auc,split23_test_roc_auc,split24_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1.0991804790496826,0.3619439776178036,0.44254350662231445,0.30568940161888125,0.2,5,400,10,5,0.5,8,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.2857142857142857,0.47058823529411764,0.375,0.4210526315789474,0.15384615384615383,0.2857142857142857,0.15384615384615385,0.13333333333333333,0.13333333333333333,0.125,0.30769230769230765,0.13333333333333333,0.11764705882352941,0.2222222222222222,0.26666666666666666,0.11764705882352941,0.39999999999999997,0.5,0.0,0.3333333333333333,0.0,0.14285714285714288,0.2084864347898404,0.14620626285655228,20,0.31127462742642,0.169361723475281,0.2146214372955841,0.3359399565748772,0.30045787545787545,0.2956886268233786,0.4004714421381088,0.32151274651274653,0.3796059486596571,0.18510994364643715,0.2515750682989245,0.24954556697442878,0.23112361208336438,0.3115237059027959,0.21276536930561696,0.18934488596538418,0.20806909331161136,0.3429637323794412,0.2210624814681018,0.3765585839598997,0.615307917888563,0.22189189554042782,0.3065312560384245,0.18724622327563506,0.18827786796536797,0.28111326353473415,0.09586220810700861,22,0.7424242424242424,0.6212121212121212,0.7306397306397306,0.8131313131313131,0.8059701492537313,0.7643097643097643,0.7878787878787878,0.8215488215488216,0.8063973063973063,0.6473880597014926,0.7845117845117845,0.7306397306397306,0.7222222222222222,0.7154882154882155,0.7388059701492538,0.6666666666666666,0.67003367003367,0.835016835016835,0.6784511784511784,0.8675373134328359,0.8164983164983165,0.7222222222222222,0.8063973063973063,0.67003367003367,0.666044776119403,0.745258806975225,0.0660351005797682,22
0.5574520969390869,0.13801430471050524,0.13167729377746581,0.017301775788554873,0.2,5,400,10,3,sqrt,8,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.26666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.25,0.23529411764705882,0.35294117647058826,0.42857142857142855,0.25,0.0,0.35294117647058826,0.13333333333333333,0.23529411764705882,0.4,0.35294117647058826,0.0,0.2857142857142857,0.42857142857142855,0.15384615384615383,0.39999999999999997,0.6,0.0,0.2857142857142857,0.14285714285714285,0.0,0.2421874595992243,0.1581804982998972,11,0.3779482708006062,0.17186790270123603,0.25462927860906504,0.43171734048927035,0.26423477551573527,0.2922915319974143,0.37095064957182283,0.42710998877665546,0.3198034828750963,0.18476948872126947,0.3709926324173637,0.2178479923331182,0.2614177222251584,0.3768211560540013,0.24738051470588235,0.15462339403515873,0.25694221308256393,0.5347108512020793,0.22704586147989905,0.3906673881673882,0.5670729099690848,0.22030772098522775,0.3841180702443054,0.2363752320356094,0.17589036791741178,0.30870146947649696,0.1084403535896047,6,0.8097643097643097,0.6127946127946128,0.7558922558922558,0.8148148148148149,0.8134328358208955,0.7794612794612794,0.7744107744107743,0.867003367003367,0.781144781144781,0.6772388059701493,0.8383838383838385,0.7037037037037036,0.7306397306397306,0.7558922558922558,0.7555970149253731,0.5824915824915825,0.739057239057239,0.8838383838383838,0.6734006734006734,0.8917910447761194,0.8249158249158248,0.7239057239057238,0.8569023569023569,0.7087542087542087,0.6567164179104478,0.7604779134629881,0.0799784232580386,2
0.28679882049560546,0.05826756436963542,0.09425911903381348,0.011607924907469737,0.3,3,200,15,8,sqrt,12,balanced,True,"{'sampler__sampling_strategy': 0.3, 'sampler__k_neighbors': 3, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.25,0.33333333333333337,0.25,0.3,0.2,0.380952380952381,0.3157894736842105,0.4,0.23529411764705882,0.14285714285714288,0.39999999999999997,0.1111111111111111,0.43478260869565216,0.4444444444444444,0.2857142857142857,0.17391304347826086,0.33333333333333337,0.33333333333333337,0.14285714285714285,0.39999999999999997,0.4166666666666667,0.2222222222222222,0.3,0.23529411764705882,0.0,0.28167595031910553,0.110449114790293,8,0.411917410777432,0.19893842540901363,0.2495325826844278,0.3718974147545576,0.2309876535619822,0.2681724202106039,0.29457493486007685,0.49674091340758,0.33221158400186535,0.18181659752141563,0.49270006230957,0.2116033649586281,0.25298713632046965,0.3385238423601594,0.19366636073953145,0.1613721950973741,0.28501467426307336,0.3030011087916625,0.2252906456378009,0.3972154110911226,0.44377453490356716,0.27227468005245786,0.3305441418484897,0.24139688762840583,0.15025601638504865,0.29345643998305265,0.09624220057996655,17,0.84006734006734,0.6346801346801347,0.7575757575757576,0.771043771043771,0.7723880597014926,0.7474747474747474,0.7592592592592593,0.877104377104377,0.7508417508417508,0.6548507462686567,0.8198653198653199,0.7003367003367003,0.7727272727272726,0.7340067340067339,0.6847014925373134,0.5942760942760943,0.7525252525252525,0.797979797979798,0.6750841750841751,0.8619402985074627,0.7794612794612794,0.7962962962962962,0.8333333333333335,0.7053872053872053,0.6044776119402986,0.7471073923312727,0.07421935646823176,20
0.5651727867126465,0.09599623637531719,0.15327176094055175,0.056825155093688774,0.3,3,400,10,5,sqrt,16,balanced,True,"{'sampler__sampling_strategy': 0.3, 'sampler__k_neighbors': 3, 'rf__n_estimators': 400, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 5, 'rf__max_features': 'sqrt', 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.26666666666666666,0.09999999999999999,0.16666666666666666,0.25,0.0,0.13333333333333333,0.2857142857142857,0.42857142857142855,0.25,0.0,0.35294117647058826,0.125,0.2222222222222222,0.4,0.33333333333333326,0.10526315789473685,0.3157894736842105,0.25,0.14285714285714285,0.39999999999999997,0.47058823529411764,0.0,0.3333333333333333,0.15384615384615383,0.0,0.21944506439552883,0.13909711828248134,16,0.3625798099675809,0.18748947809963523,0.27838451625061933,0.3856692508653293,0.24197241263949903,0.28997702268985315,0.32184928535200763,0.46477826510721254,0.33703580908907227,0.1614973853139771,0.5041964153511321,0.21126010328908879,0.2574188122790543,0.32841371591371593,0.20580944710825866,0.15630875905659702,0.30085682924626356,0.37200247293869837,0.21106291679809652,0.545874060150376,0.40790006060903894,0.2414188474585568,0.33353855099654994,0.22038573649082766,0.16785912555641552,0.2998215635446983,0.10417103864559062,11,0.8518518518518519,0.6279461279461279,0.7693602693602694,0.8080808080808081,0.794776119402985,0.7760942760942761,0.7777777777777777,0.8703703703703703,0.7710437710437711,0.6511194029850746,0.8265993265993266,0.7205387205387205,0.7727272727272727,0.7474747474747475,0.6940298507462687,0.5824915824915825,0.7457912457912458,0.8535353535353536,0.6666666666666666,0.8955223880597014,0.8114478114478114,0.7575757575757576,0.835016835016835,0.6902356902356903,0.6436567164179104,0.7576692296095281,0.07974100104199938,4
0.6458600234985351,0.12884878074741155,0.19422853469848633,0.0521276283215063,0.2,5,300,5,8,0.3,16,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.3, 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.25,0.1111111111111111,0.26666666666666666,0.25,0.33333333333333326,0.4210526315789474,0.4761904761904762,0.4,0.3157894736842105,0.0,0.13333333333333333,0.125,0.19999999999999998,0.5333333333333333,0.1904761904761905,0.09999999999999999,0.3157894736842105,0.3333333333333333,0.1111111111111111,0.3157894736842105,0.47058823529411764,0.125,0.39999999999999997,0.19999999999999998,0.0,0.25511592707258346,0.14426914250892733,10,0.37471055585090673,0.17208492787919966,0.2804824885042129,0.3380811001863634,0.29628245528980823,0.29822444477616894,0.4069176169635503,0.3888888888888889,0.32423891694725027,0.18000494875494877,0.2863435419356472,0.20771402605744205,0.24895377621366324,0.37094017094017095,0.21612129700364996,0.17402472968510702,0.3035727646838758,0.3664674765033188,0.21332816228643064,0.3597015961557037,0.43587040550987416,0.23266237769161746,0.41355683269476373,0.1963517316857974,0.16977045103179403,0.29021182736480616,0.08344160442189645,19,0.7659932659932659,0.6077441077441077,0.7861952861952862,0.8013468013468013,0.8134328358208955,0.7794612794612794,0.7828282828282828,0.8417508417508417,0.7962962962962964,0.6473880597014925,0.8181818181818181,0.6952861952861953,0.7407407407407407,0.6919191919191918,0.7537313432835822,0.6481481481481481,0.6902356902356902,0.8468013468013469,0.6784511784511785,0.8656716417910448,0.803030303030303,0.7222222222222221,0.8535353535353536,0.6936026936026936,0.6623134328358209,0.7514523342881552,0.07198615357451987,14
0.36587748527526853,0.10636527777839987,0.13358738899230957,0.05571329363483028,0.2,5,200,10,3,sqrt,16,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 200, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 3, 'rf__max_features': 'sqrt', 'rf__max_depth': 16, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.26666666666666666,0.0,0.0,0.375,0.23529411764705882,0.23529411764705882,0.35294117647058826,0.42857142857142855,0.35294117647058826,0.0,0.375,0.125,0.2222222222222222,0.4,0.33333333333333326,0.0,0.0,0.30769230769230765,0.13333333333333333,0.15384615384615385,0.5,0.0,0.2857142857142857,0.25,0.0,0.21331401278460102,0.15807554196692328,17,0.3819079685746352,0.19035216780314818,0.2511490125215615,0.45025990903183877,0.264527417027417,0.27611582123466677,0.3234618967520061,0.4836109634355248,0.37062393825980783,0.19315272192108177,0.32128026294692963,0.18418043703947562,0.269561778199652,0.40030039556183344,0.2732598039215686,0.15600694320140568,0.2303587123709075,0.4945556322367916,0.2274297386155319,0.3832318722943723,0.4988235801961292,0.21027928663702883,0.3688742261322907,0.2204785351524482,0.20056933806933808,0.30497409436549566,0.10301585763632738,8,0.8080808080808081,0.632996632996633,0.7744107744107744,0.8097643097643097,0.8041044776119403,0.765993265993266,0.7727272727272727,0.877104377104377,0.765993265993266,0.6884328358208955,0.8164983164983165,0.6784511784511784,0.7188552188552189,0.7777777777777778,0.7593283582089552,0.5892255892255892,0.7239057239057239,0.8602693602693603,0.6784511784511784,0.8955223880597014,0.8249158249158248,0.7104377104377104,0.8434343434343434,0.6885521885521886,0.6884328358208955,0.7581466405347002,0.07571036370972492,3
0.9026399803161621,0.22526410028661917,0.4133085823059082,0.15219077712054643,0.2,5,400,5,5,0.3,8,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 400, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 5, 'rf__max_features': 0.3, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.125,0.0,0.2857142857142857,0.375,0.26666666666666666,0.35294117647058826,0.0,0.2857142857142857,0.16666666666666666,0.14285714285714285,0.13333333333333333,0.2222222222222222,0.42857142857142855,0.23529411764705882,0.125,0.2222222222222222,0.2857142857142857,0.125,0.14285714285714288,0.5333333333333333,0.125,0.5,0.0,0.0,0.20849766573295983,0.14605696923257303,19,0.36535948816090663,0.1752152477152477,0.2574352476919725,0.36307267210171024,0.29556834097275275,0.2959376489098542,0.42894270338714785,0.36969001202013374,0.328023891211747,0.18896154257595207,0.25292080106120457,0.23648007743536195,0.25631950631950634,0.3401824796861168,0.22241389426744118,0.17125952468669725,0.23086380042004395,0.34897999090376586,0.20121539547651457,0.4179411597174755,0.45358796296296294,0.2282355194152616,0.3793512799231753,0.19179553710985545,0.18732639243735594,0.2874832046628065,0.0846178962316891,20,0.7609427609427609,0.632996632996633,0.7794612794612795,0.8063973063973063,0.7966417910447762,0.7727272727272727,0.8063973063973064,0.8535353535353536,0.8013468013468014,0.6399253731343284,0.7794612794612794,0.7087542087542087,0.7542087542087542,0.7104377104377104,0.755597014925373,0.6363636363636365,0.6902356902356902,0.8400673400673402,0.6464646464646464,0.8619402985074627,0.7878787878787878,0.7306397306397305,0.835016835016835,0.6885521885521886,0.6772388059701493,0.7501291522187042,0.0690915610374772,17
0.8184742832183838,0.13738862598819798,0.33569768905639646,0.19369012651022405,0.2,3,300,10,8,0.5,8,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 3, 'rf__n_estimators': 300, 'rf__min_samples_split': 10, 'rf__min_samples_leaf': 8, 'rf__max_features': 0.5, 'rf__max_depth': 8, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.3333333333333333,0.0,0.11764705882352941,0.2222222222222222,0.4444444444444445,0.39999999999999997,0.28571428571428575,0.26666666666666666,0.26666666666666666,0.11764705882352941,0.2105263157894737,0.10526315789473685,0.19999999999999998,0.4,0.22222222222222224,0.11764705882352941,0.19999999999999998,0.19999999999999998,0.2222222222222222,0.35294117647058826,0.4444444444444444,0.125,0.3636363636363637,0.2105263157894737,0.125,0.2381508405595093,0.11481718573525473,14,0.40654006838383816,0.18169947686753457,0.2402626937714657,0.27841261486422775,0.325666010331258,0.32090211563552623,0.3351055310134594,0.36083704259658855,0.435938531484088,0.18541715154618382,0.37249284677157424,0.2082913228746562,0.2286792926047312,0.4154791272617808,0.21200195265092964,0.18734986850123148,0.275400405038173,0.30794148603288396,0.20319858064956106,0.35071044546851,0.5123419039361068,0.24013587057065316,0.38547448201897416,0.20938388341489117,0.16184536416391254,0.2936603227381096,0.09261137915966353,15,0.8367003367003366,0.6212121212121211,0.7744107744107744,0.7845117845117845,0.832089552238806,0.7659932659932659,0.7323232323232323,0.8249158249158248,0.7727272727272727,0.6623134328358209,0.803030303030303,0.7138047138047138,0.7373737373737373,0.6818181818181819,0.7164179104477612,0.67003367003367,0.6599326599326599,0.8164983164983166,0.67003367003367,0.8526119402985075,0.7676767676767676,0.7255892255892256,0.835016835016835,0.7037037037037037,0.6194029850746269,0.7432056887280767,0.06902374219949305,24
0.5205162715911865,0.13831676686666386,0.2984202766418457,0.12285719904956867,0.2,5,200,15,3,0.5,12,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 5, 'rf__n_estimators': 200, 'rf__min_samples_split': 15, 'rf__min_samples_leaf': 3, 'rf__max_features': 0.5, 'rf__max_depth': 12, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.13333333333333333,0.0,0.0,0.25,0.4444444444444445,0.375,0.35294117647058826,0.0,0.4,0.16666666666666666,0.15384615384615383,0.14285714285714285,0.2222222222222222,0.30769230769230765,0.23529411764705882,0.1111111111111111,0.2222222222222222,0.14285714285714285,0.125,0.39999999999999997,0.5,0.13333333333333333,0.4444444444444444,0.0,0.0,0.21053063276592687,0.1535275619768128,18,0.296055796055796,0.16926774536593658,0.2055440202499026,0.33531356987239336,0.3188087960409389,0.2685579689965655,0.31534762429923724,0.3393821556865035,0.4063874034462269,0.213156635031635,0.2408847327104981,0.21090727827726974,0.24558713053576484,0.3845294955589073,0.22574286094022936,0.1869312517831355,0.19169352250062843,0.3413730905110215,0.2266726568727533,0.3910086888917534,0.5022156293819797,0.23095941421907937,0.32044163710830376,0.17604314160153886,0.19232408673198148,0.2774054533067992,0.08401782432521734,23,0.7306397306397306,0.6178451178451179,0.7154882154882155,0.8198653198653199,0.8059701492537313,0.7070707070707072,0.7643097643097643,0.8265993265993266,0.8097643097643098,0.6343283582089552,0.7676767676767677,0.7138047138047138,0.7205387205387206,0.7457912457912458,0.7388059701492536,0.6717171717171717,0.6481481481481481,0.8265993265993267,0.6683501683501685,0.8694029850746269,0.7845117845117845,0.7205387205387206,0.8063973063973063,0.6582491582491582,0.6735074626865671,0.7378368259711542,0.06742364258757903,25
0.43570733070373535,0.10475774727701384,0.12254888534545899,0.02171121647104182,0.2,3,300,5,8,sqrt,5,balanced,True,"{'sampler__sampling_strategy': 0.2, 'sampler__k_neighbors': 3, 'rf__n_estimators': 300, 'rf__min_samples_split': 5, 'rf__min_samples_leaf': 8, 'rf__max_features': 'sqrt', 'rf__max_depth': 5, 'rf__class_weight': 'balanced', 'rf__bootstrap': True}",0.4444444444444444,0.17391304347826086,0.125,0.380952380952381,0.3157894736842105,0.4545454545454546,0.3157894736842105,0.5263157894736842,0.39999999999999997,0.13333333333333333,0.3636363636363637,0.10526315789473685,0.3636363636363637,0.35294117647058826,0.26086956521739135,0.24000000000000005,0.23076923076923078,0.4166666666666667,0.1111111111111111,0.36363636363636365,0.5217391304347826,0.3157894736842105,0.380952380952381,0.28571428571428575,0.0,0.3033123465368182,0.1334629148446838,1,0.3788932898063251,0.16346327117292253,0.26071887914748293,0.3396011396011396,0.27132621255166833,0.2945052501656275,0.3007929562663604,0.4617238365604379,0.42837976293858643,0.18673561270600744,0.4990834613415258,0.1901021092197563,0.26393230226563563,0.3417981210046368,0.260323125029555,0.17219248635852258,0.34079335871740635,0.3343741649297205,0.20657865408656048,0.4211202722715881,0.6433388239992013,0.24857206012378427,0.39798072298072296,0.3088116289840428,0.15362786583602533,0.3147507747226097,0.11478623446767355,4,0.8518518518518519,0.5909090909090909,0.787878787878788,0.7760942760942761,0.8246268656716418,0.7542087542087542,0.7205387205387206,0.8552188552188552,0.7996632996632996,0.6940298507462687,0.8501683501683502,0.6868686868686869,0.7676767676767677,0.7154882154882154,0.7220149253731343,0.6111111111111112,0.7053872053872053,0.8265993265993266,0.6683501683501684,0.8936567164179106,0.8265993265993267,0.7474747474747474,0.8484848484848485,0.6835016835016836,0.6175373134328358,0.7530375898286347,0.082217513836156,11
