fold,accuracy,precision,recall,f1,roc_auc,pr_auc,best_threshold
1,0.7733333333333333,0.3,0.6666666666666666,0.41379310344827586,0.8198653198653199,0.403452345101971,0.4699999999999999
2,0.72,0.22727272727272727,0.5555555555555556,0.3225806451612903,0.6077441077441077,0.17497419369129896,0.4699999999999999
3,0.7733333333333333,0.21428571428571427,0.3333333333333333,0.2608695652173913,0.771043771043771,0.27730897058700266,0.4799999999999999
4,0.7866666666666666,0.29411764705882354,0.5555555555555556,0.3846153846153846,0.7946127946127945,0.3475131034700515,0.4799999999999999
5,0.7733333333333333,0.2631578947368421,0.625,0.37037037037037035,0.8003731343283583,0.26157496909440014,0.48999999999999994
