fold,train_f1@0.5,val_f1@0.5,gap_f1@0.5,train_roc_auc,val_roc_auc,gap_roc_auc
1,0.4600000000000001,0.43478260869565216,0.025217391304347914,0.8877628032345013,0.8400673400673401,0.04769546316716122
2,0.625,0.16,0.46499999999999997,0.9251752021563342,0.5437710437710437,0.3814041583852905
3,0.4807692307692308,0.4444444444444444,0.03632478632478636,0.8597304582210242,0.8316498316498315,0.0280806265711927
4,0.5531914893617021,0.3636363636363637,0.18955512572533845,0.9067385444743935,0.7558922558922558,0.15084628858213767
5,0.5,0.30769230769230765,0.19230769230769235,0.8839436026936027,0.746268656716418,0.13767494597718477
6,0.49090909090909085,0.42857142857142855,0.0623376623376623,0.8805390835579515,0.7390572390572391,0.14148184450071244
7,0.5294117647058824,0.2962962962962963,0.23311546840958608,0.8938005390835579,0.7491582491582491,0.1446422899253088
8,0.4695652173913044,0.3636363636363637,0.10592885375494071,0.8760107816711591,0.8434343434343434,0.032576438236815664
9,0.5319148936170213,0.4800000000000001,0.051914893617021174,0.9018867924528302,0.7777777777777778,0.12410901467505242
10,0.406015037593985,0.30303030303030304,0.10298473456368196,0.8228114478114478,0.7518656716417911,0.0709457761696567
11,0.5263157894736842,0.4166666666666667,0.1096491228070175,0.8928301886792452,0.8316498316498316,0.0611803570294136
12,0.5283018867924529,0.2857142857142857,0.24258760107816724,0.8942318059299191,0.6952861952861953,0.19894561064372385
13,0.49090909090909085,0.3846153846153846,0.10629370629370627,0.8642587601078167,0.7525252525252526,0.11173350758256406
14,0.5225225225225226,0.33333333333333337,0.18918918918918926,0.9013477088948787,0.6868686868686869,0.21447902202619185
15,0.45528455284552843,0.411764705882353,0.04351984696317546,0.8494318181818181,0.7985074626865672,0.05092435549525087
16,0.5769230769230769,0.14814814814814814,0.42877492877492873,0.9147169811320754,0.5454545454545454,0.36926243567753003
17,0.5225225225225226,0.5,0.022522522522522626,0.89455525606469,0.8282828282828283,0.06627242778186171
18,0.4859813084112149,0.4666666666666666,0.019314641744548278,0.8721293800539084,0.8468013468013468,0.02532803325256161
19,0.5252525252525253,0.17391304347826086,0.35133948177426444,0.889487870619946,0.632996632996633,0.25649123762331305
20,0.4,0.3684210526315789,0.031578947368421095,0.8194444444444444,0.8656716417910448,-0.04622719734660041
21,0.49523809523809526,0.3225806451612903,0.17265745007680494,0.8760107816711591,0.7912457912457913,0.08476499042536778
22,0.4715447154471545,0.4,0.07154471544715446,0.887978436657682,0.7323232323232323,0.15565520433444968
23,0.5148514851485148,0.380952380952381,0.13389910419613377,0.8884097035040431,0.7760942760942762,0.11231542740976697
24,0.5233644859813085,0.2758620689655173,0.24750241701579118,0.9026415094339623,0.632996632996633,0.26964487643732926
25,0.46017699115044247,0.3333333333333333,0.12684365781710916,0.8753156565656566,0.7052238805970149,0.17009177596864167
